Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 2/1/2012 USD/barrel",,,"Crude Oil, WTI (NYM) 1/3/2012 USD/barrel",,,"Crude Oil, WTI (NYM) 12/1/2011 USD/barrel",,,"Crude Oil, WTI (NYM) 11/1/2011 USD/barrel",,,"Crude Oil, WTI (NYM) 10/3/2011 USD/barrel",,,"Crude Oil, WTI (NYM) 9/1/2011 USD/barrel",,,"Crude Oil, WTI (NYM) 8/1/2011 USD/barrel",,,"Crude Oil, WTI (NYM) 7/1/2011 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLQ11 Comdty,8/2011,94.94
2M,,,,,,,,,,,,,,,,,,,CLU11 Comdty,9/2011,94.89,CLU11 Comdty,9/2011,95.51
3M,,,,,,,,,,,,,,,,CLV11 Comdty,10/2011,88.93,CLV11 Comdty,10/2011,95.33,CLV11 Comdty,10/2011,96.06
4M,,,,,,,,,,,,,CLX11 Comdty,11/2011,77.61,CLX11 Comdty,11/2011,89.24,CLX11 Comdty,11/2011,95.8,CLX11 Comdty,11/2011,96.61
5M,,,,,,,,,,CLZ11 Comdty,12/2011,92.19,CLZ11 Comdty,12/2011,77.83,CLZ11 Comdty,12/2011,89.62,CLZ11 Comdty,12/2011,96.27,CLZ11 Comdty,12/2011,97.14
6M,,,,,,,CLF12 Comdty,1/2012,100.2,CLF12 Comdty,1/2012,92.05,CLF12 Comdty,1/2012,78.04,CLF12 Comdty,1/2012,89.94,CLF12 Comdty,1/2012,96.71,CLF12 Comdty,1/2012,97.64
7M,,,,CLG12 Comdty,2/2012,102.96,CLG12 Comdty,2/2012,100.33,CLG12 Comdty,2/2012,91.91,CLG12 Comdty,2/2012,78.25,CLG12 Comdty,2/2012,90.22,CLG12 Comdty,2/2012,97.15,CLG12 Comdty,2/2012,98.1
8M,CLH12 Comdty,3/2012,97.61,CLH12 Comdty,3/2012,103.14,CLH12 Comdty,3/2012,100.45,CLH12 Comdty,3/2012,91.78,CLH12 Comdty,3/2012,78.48,CLH12 Comdty,3/2012,90.48,CLH12 Comdty,3/2012,97.58,CLH12 Comdty,3/2012,98.53
9M,CLJ12 Comdty,4/2012,97.99,CLJ12 Comdty,4/2012,103.32,CLJ12 Comdty,4/2012,100.49,CLJ12 Comdty,4/2012,91.64,CLJ12 Comdty,4/2012,78.72,CLJ12 Comdty,4/2012,90.71,CLJ12 Comdty,4/2012,98,CLJ12 Comdty,4/2012,98.95
10M,CLK12 Comdty,5/2012,98.41,CLK12 Comdty,5/2012,103.42,CLK12 Comdty,5/2012,100.42,CLK12 Comdty,5/2012,91.52,CLK12 Comdty,5/2012,78.99,CLK12 Comdty,5/2012,90.92,CLK12 Comdty,5/2012,98.41,CLK12 Comdty,5/2012,99.37
11M,CLM12 Comdty,6/2012,98.79,CLM12 Comdty,6/2012,103.35,CLM12 Comdty,6/2012,100.23,CLM12 Comdty,6/2012,91.39,CLM12 Comdty,6/2012,79.28,CLM12 Comdty,6/2012,91.13,CLM12 Comdty,6/2012,98.8,CLM12 Comdty,6/2012,99.78
1Y,CLN12 Comdty,7/2012,99.08,CLN12 Comdty,7/2012,103.15,CLN12 Comdty,7/2012,99.97,CLN12 Comdty,7/2012,91.25,CLN12 Comdty,7/2012,79.56,CLN12 Comdty,7/2012,91.34,CLN12 Comdty,7/2012,99.17,CLN12 Comdty,7/2012,100.08
13M,CLQ12 Comdty,8/2012,99.27,CLQ12 Comdty,8/2012,102.82,CLQ12 Comdty,8/2012,99.68,CLQ12 Comdty,8/2012,91.1,CLQ12 Comdty,8/2012,79.82,CLQ12 Comdty,8/2012,91.5,CLQ12 Comdty,8/2012,99.44,CLQ12 Comdty,8/2012,100.28
14M,CLU12 Comdty,9/2012,99.43,CLU12 Comdty,9/2012,102.41,CLU12 Comdty,9/2012,99.39,CLU12 Comdty,9/2012,90.97,CLU12 Comdty,9/2012,80.1,CLU12 Comdty,9/2012,91.63,CLU12 Comdty,9/2012,99.68,CLU12 Comdty,9/2012,100.47
15M,CLV12 Comdty,10/2012,99.58,CLV12 Comdty,10/2012,101.99,CLV12 Comdty,10/2012,99.1,CLV12 Comdty,10/2012,90.89,CLV12 Comdty,10/2012,80.4,CLV12 Comdty,10/2012,91.77,CLV12 Comdty,10/2012,99.92,CLV12 Comdty,10/2012,100.66
16M,CLX12 Comdty,11/2012,99.71,CLX12 Comdty,11/2012,101.62,CLX12 Comdty,11/2012,98.85,CLX12 Comdty,11/2012,90.83,CLX12 Comdty,11/2012,80.73,CLX12 Comdty,11/2012,91.93,CLX12 Comdty,11/2012,100.18,CLX12 Comdty,11/2012,100.87
17M,CLZ12 Comdty,12/2012,99.83,CLZ12 Comdty,12/2012,101.29,CLZ12 Comdty,12/2012,98.58,CLZ12 Comdty,12/2012,90.79,CLZ12 Comdty,12/2012,81.08,CLZ12 Comdty,12/2012,92.1,CLZ12 Comdty,12/2012,100.46,CLZ12 Comdty,12/2012,101.09
18M,CLF13 Comdty,1/2013,99.81,CLF13 Comdty,1/2013,100.87,CLF13 Comdty,1/2013,98.18,CLF13 Comdty,1/2013,90.62,CLF13 Comdty,1/2013,81.26,CLF13 Comdty,1/2013,92.13,CLF13 Comdty,1/2013,100.59,CLF13 Comdty,1/2013,101.11
19M,CLG13 Comdty,2/2013,99.74,CLG13 Comdty,2/2013,100.47,CLG13 Comdty,2/2013,97.75,CLG13 Comdty,2/2013,90.44,CLG13 Comdty,2/2013,81.43,CLG13 Comdty,2/2013,92.15,CLG13 Comdty,2/2013,100.7,CLG13 Comdty,2/2013,101.14
20M,CLH13 Comdty,3/2013,99.63,CLH13 Comdty,3/2013,100.07,CLH13 Comdty,3/2013,97.34,CLH13 Comdty,3/2013,90.29,CLH13 Comdty,3/2013,81.61,CLH13 Comdty,3/2013,92.19,CLH13 Comdty,3/2013,100.81,CLH13 Comdty,3/2013,101.18
21M,CLJ13 Comdty,4/2013,99.46,CLJ13 Comdty,4/2013,99.7,CLJ13 Comdty,4/2013,96.94,CLJ13 Comdty,4/2013,90.15,CLJ13 Comdty,4/2013,81.79,CLJ13 Comdty,4/2013,92.25,CLJ13 Comdty,4/2013,100.92,CLJ13 Comdty,4/2013,101.22
22M,CLK13 Comdty,5/2013,99.27,CLK13 Comdty,5/2013,99.35,CLK13 Comdty,5/2013,96.55,CLK13 Comdty,5/2013,90,CLK13 Comdty,5/2013,81.95,CLK13 Comdty,5/2013,92.24,CLK13 Comdty,5/2013,101.01,CLK13 Comdty,5/2013,101.24
23M,CLM13 Comdty,6/2013,99.05,CLM13 Comdty,6/2013,99.01,CLM13 Comdty,6/2013,96.19,CLM13 Comdty,6/2013,89.86,CLM13 Comdty,6/2013,82.08,CLM13 Comdty,6/2013,92.24,CLM13 Comdty,6/2013,101.09,CLM13 Comdty,6/2013,101.25
2Y,CLN13 Comdty,7/2013,98.76,CLN13 Comdty,7/2013,98.62,CLN13 Comdty,7/2013,95.81,CLN13 Comdty,7/2013,89.73,CLN13 Comdty,7/2013,82.21,CLN13 Comdty,7/2013,92.21,CLN13 Comdty,7/2013,101.14,CLN13 Comdty,7/2013,101.18
25M,CLQ13 Comdty,8/2013,98.46,CLQ13 Comdty,8/2013,98.23,CLQ13 Comdty,8/2013,95.46,CLQ13 Comdty,8/2013,89.61,CLQ13 Comdty,8/2013,82.34,CLQ13 Comdty,8/2013,92.15,CLQ13 Comdty,8/2013,101.2,CLQ13 Comdty,8/2013,101.17
26M,CLU13 Comdty,9/2013,98.16,CLU13 Comdty,9/2013,97.85,CLU13 Comdty,9/2013,95.12,CLU13 Comdty,9/2013,89.5,CLU13 Comdty,9/2013,82.49,CLU13 Comdty,9/2013,92.08,CLU13 Comdty,9/2013,101.26,CLU13 Comdty,9/2013,101.19
27M,CLV13 Comdty,10/2013,97.93,CLV13 Comdty,10/2013,97.54,CLV13 Comdty,10/2013,94.86,CLV13 Comdty,10/2013,89.41,CLV13 Comdty,10/2013,82.7,CLV13 Comdty,10/2013,92.12,CLV13 Comdty,10/2013,101.4,CLV13 Comdty,10/2013,101.28
28M,CLX13 Comdty,11/2013,97.71,CLX13 Comdty,11/2013,97.29,CLX13 Comdty,11/2013,94.62,CLX13 Comdty,11/2013,89.37,CLX13 Comdty,11/2013,82.93,CLX13 Comdty,11/2013,92.17,CLX13 Comdty,11/2013,101.58,CLX13 Comdty,11/2013,101.38
29M,CLZ13 Comdty,12/2013,97.52,CLZ13 Comdty,12/2013,97.06,CLZ13 Comdty,12/2013,94.42,CLZ13 Comdty,12/2013,89.34,CLZ13 Comdty,12/2013,83.18,CLZ13 Comdty,12/2013,92.26,CLZ13 Comdty,12/2013,101.76,CLZ13 Comdty,12/2013,101.49
