Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 2/3/2014 USD/barrel",,,"Crude Oil, WTI (NYM) 1/2/2014 USD/barrel",,,"Crude Oil, WTI (NYM) 12/2/2013 USD/barrel",,,"Crude Oil, WTI (NYM) 11/1/2013 USD/barrel",,,"Crude Oil, WTI (NYM) 10/1/2013 USD/barrel",,,"Crude Oil, WTI (NYM) 9/3/2013 USD/barrel",,,"Crude Oil, WTI (NYM) 8/1/2013 USD/barrel",,,"Crude Oil, WTI (NYM) 7/1/2013 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLQ13 Comdty,8/2013,97.99
2M,,,,,,,,,,,,,,,,,,,CLU13 Comdty,9/2013,107.89,CLU13 Comdty,9/2013,97.88
3M,,,,,,,,,,,,,,,,CLV13 Comdty,10/2013,108.54,CLV13 Comdty,10/2013,106.93,CLV13 Comdty,10/2013,97.02
4M,,,,,,,,,,,,,CLX13 Comdty,11/2013,102.04,CLX13 Comdty,11/2013,107.85,CLX13 Comdty,11/2013,105.32,CLX13 Comdty,11/2013,96.23
5M,,,,,,,,,,CLZ13 Comdty,12/2013,94.61,CLZ13 Comdty,12/2013,101.69,CLZ13 Comdty,12/2013,106.42,CLZ13 Comdty,12/2013,103.71,CLZ13 Comdty,12/2013,95.46
6M,,,,,,,CLF14 Comdty,1/2014,93.82,CLF14 Comdty,1/2014,94.96,CLF14 Comdty,1/2014,100.97,CLF14 Comdty,1/2014,104.83,CLF14 Comdty,1/2014,102.13,CLF14 Comdty,1/2014,94.68
7M,,,,CLG14 Comdty,2/2014,95.44,CLG14 Comdty,2/2014,94.1,CLG14 Comdty,2/2014,95.05,CLG14 Comdty,2/2014,100.03,CLG14 Comdty,2/2014,103.32,CLG14 Comdty,2/2014,100.71,CLG14 Comdty,2/2014,93.91
8M,CLH14 Comdty,3/2014,96.43,CLH14 Comdty,3/2014,95.62,CLH14 Comdty,3/2014,94.28,CLH14 Comdty,3/2014,94.96,CLH14 Comdty,3/2014,99.06,CLH14 Comdty,3/2014,101.91,CLH14 Comdty,3/2014,99.54,CLH14 Comdty,3/2014,93.22
9M,CLJ14 Comdty,4/2014,95.72,CLJ14 Comdty,4/2014,95.55,CLJ14 Comdty,4/2014,94.27,CLJ14 Comdty,4/2014,94.68,CLJ14 Comdty,4/2014,98.09,CLJ14 Comdty,4/2014,100.6,CLJ14 Comdty,4/2014,98.44,CLJ14 Comdty,4/2014,92.57
10M,CLK14 Comdty,5/2014,94.9,CLK14 Comdty,5/2014,95.2,CLK14 Comdty,5/2014,94.12,CLK14 Comdty,5/2014,94.22,CLK14 Comdty,5/2014,97.22,CLK14 Comdty,5/2014,99.49,CLK14 Comdty,5/2014,97.58,CLK14 Comdty,5/2014,92.05
11M,CLM14 Comdty,6/2014,94.02,CLM14 Comdty,6/2014,94.63,CLM14 Comdty,6/2014,93.86,CLM14 Comdty,6/2014,93.69,CLM14 Comdty,6/2014,96.38,CLM14 Comdty,6/2014,98.5,CLM14 Comdty,6/2014,96.83,CLM14 Comdty,6/2014,91.6
1Y,CLN14 Comdty,7/2014,93.13,CLN14 Comdty,7/2014,93.95,CLN14 Comdty,7/2014,93.51,CLN14 Comdty,7/2014,93.13,CLN14 Comdty,7/2014,95.55,CLN14 Comdty,7/2014,97.5,CLN14 Comdty,7/2014,95.99,CLN14 Comdty,7/2014,91.09
