Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 1/2/2002 USD/barrel",,,"Crude Oil, WTI (NYM) 12/3/2001 USD/barrel",,,"Crude Oil, WTI (NYM) 11/1/2001 USD/barrel",,,"Crude Oil, WTI (NYM) 10/1/2001 USD/barrel",,,"Crude Oil, WTI (NYM) 9/4/2001 USD/barrel",,,"Crude Oil, WTI (NYM) 8/1/2001 USD/barrel",,,"Crude Oil, WTI (NYM) 7/2/2001 USD/barrel",,,"Crude Oil, WTI (NYM) 6/1/2001 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLN01 Comdty,7/2001,27.93
2M,,,,,,,,,,,,,,,,,,,CLQ01 Comdty,8/2001,25.95,CLQ01 Comdty,8/2001,28.17
3M,,,,,,,,,,,,,,,,CLU01 Comdty,9/2001,26.77,CLU01 Comdty,9/2001,25.83,CLU01 Comdty,9/2001,28.17
4M,,,,,,,,,,,,,CLV01 Comdty,10/2001,26.93,CLV01 Comdty,10/2001,26.13,CLV01 Comdty,10/2001,25.81,CLV01 Comdty,10/2001,28.03
5M,,,,,,,,,,CLX01 Comdty,11/2001,23.28,CLX01 Comdty,11/2001,27.07,CLX01 Comdty,11/2001,26.05,CLX01 Comdty,11/2001,25.8,CLX01 Comdty,11/2001,27.82
6M,,,,,,,CLZ01 Comdty,12/2001,20.39,CLZ01 Comdty,12/2001,23.56,CLZ01 Comdty,12/2001,27.07,CLZ01 Comdty,12/2001,25.97,CLZ01 Comdty,12/2001,25.8,CLZ01 Comdty,12/2001,27.59
7M,,,,CLF02 Comdty,1/2002,20.09,CLF02 Comdty,1/2002,20.58,CLF02 Comdty,1/2002,23.69,CLF02 Comdty,1/2002,26.8,CLF02 Comdty,1/2002,25.79,CLF02 Comdty,1/2002,25.7,CLF02 Comdty,1/2002,27.33
8M,CLG02 Comdty,2/2002,21.01,CLG02 Comdty,2/2002,20.39,CLG02 Comdty,2/2002,20.75,CLG02 Comdty,2/2002,23.81,CLG02 Comdty,2/2002,26.52,CLG02 Comdty,2/2002,25.58,CLG02 Comdty,2/2002,25.55,CLG02 Comdty,2/2002,27.07
9M,CLH02 Comdty,3/2002,21.23,CLH02 Comdty,3/2002,20.53,CLH02 Comdty,3/2002,20.85,CLH02 Comdty,3/2002,23.86,CLH02 Comdty,3/2002,26.24,CLH02 Comdty,3/2002,25.37,CLH02 Comdty,3/2002,25.39,CLH02 Comdty,3/2002,26.82
10M,CLJ02 Comdty,4/2002,21.34,CLJ02 Comdty,4/2002,20.63,CLJ02 Comdty,4/2002,20.92,CLJ02 Comdty,4/2002,23.86,CLJ02 Comdty,4/2002,25.97,CLJ02 Comdty,4/2002,25.17,CLJ02 Comdty,4/2002,25.23,CLJ02 Comdty,4/2002,26.57
