Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 9/3/2002 USD/barrel",,,"Crude Oil, WTI (NYM) 8/1/2002 USD/barrel",,,"Crude Oil, WTI (NYM) 7/1/2002 USD/barrel",,,"Crude Oil, WTI (NYM) 6/3/2002 USD/barrel",,,"Crude Oil, WTI (NYM) 5/1/2002 USD/barrel",,,"Crude Oil, WTI (NYM) 4/1/2002 USD/barrel",,,"Crude Oil, WTI (NYM) 3/1/2002 USD/barrel",,,"Crude Oil, WTI (NYM) 2/1/2002 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLH02 Comdty,3/2002,20.38
2M,,,,,,,,,,,,,,,,,,,CLJ02 Comdty,4/2002,22.4,CLJ02 Comdty,4/2002,20.63
3M,,,,,,,,,,,,,,,,CLK02 Comdty,5/2002,26.88,CLK02 Comdty,5/2002,22.64,CLK02 Comdty,5/2002,20.84
4M,,,,,,,,,,,,,CLM02 Comdty,6/2002,26.75,CLM02 Comdty,6/2002,27.01,CLM02 Comdty,6/2002,22.71,CLM02 Comdty,6/2002,20.96
5M,,,,,,,,,,CLN02 Comdty,7/2002,25.08,CLN02 Comdty,7/2002,26.43,CLN02 Comdty,7/2002,26.91,CLN02 Comdty,7/2002,22.64,CLN02 Comdty,7/2002,20.97
6M,,,,,,,CLQ02 Comdty,8/2002,26.81,CLQ02 Comdty,8/2002,25.26,CLQ02 Comdty,8/2002,26.18,CLQ02 Comdty,8/2002,26.64,CLQ02 Comdty,8/2002,22.56,CLQ02 Comdty,8/2002,20.98
7M,,,,CLU02 Comdty,9/2002,26.47,CLU02 Comdty,9/2002,26.74,CLU02 Comdty,9/2002,25.11,CLU02 Comdty,9/2002,25.94,CLU02 Comdty,9/2002,26.37,CLU02 Comdty,9/2002,22.48,CLU02 Comdty,9/2002,20.99
8M,CLV02 Comdty,10/2002,27.79,CLV02 Comdty,10/2002,26.06,CLV02 Comdty,10/2002,26.48,CLV02 Comdty,10/2002,24.93,CLV02 Comdty,10/2002,25.71,CLV02 Comdty,10/2002,26.09,CLV02 Comdty,10/2002,22.42,CLV02 Comdty,10/2002,21
9M,CLX02 Comdty,11/2002,27.79,CLX02 Comdty,11/2002,25.84,CLX02 Comdty,11/2002,26.25,CLX02 Comdty,11/2002,24.76,CLX02 Comdty,11/2002,25.49,CLX02 Comdty,11/2002,25.81,CLX02 Comdty,11/2002,22.36,CLX02 Comdty,11/2002,21.01
