Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 1/2/2008 USD/barrel",,,"Crude Oil, WTI (NYM) 12/3/2007 USD/barrel",,,"Crude Oil, WTI (NYM) 11/1/2007 USD/barrel",,,"Crude Oil, WTI (NYM) 10/1/2007 USD/barrel",,,"Crude Oil, WTI (NYM) 9/4/2007 USD/barrel",,,"Crude Oil, WTI (NYM) 8/1/2007 USD/barrel",,,"Crude Oil, WTI (NYM) 7/2/2007 USD/barrel",,,"Crude Oil, WTI (NYM) 6/1/2007 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLN07 Comdty,7/2007,65.08
2M,,,,,,,,,,,,,,,,,,,CLQ07 Comdty,8/2007,71.09,CLQ07 Comdty,8/2007,66.12
3M,,,,,,,,,,,,,,,,CLU07 Comdty,9/2007,76.53,CLU07 Comdty,9/2007,71.56,CLU07 Comdty,9/2007,66.99
4M,,,,,,,,,,,,,CLV07 Comdty,10/2007,75.08,CLV07 Comdty,10/2007,76.21,CLV07 Comdty,10/2007,71.73,CLV07 Comdty,10/2007,67.65
5M,,,,,,,,,,CLX07 Comdty,11/2007,80.24,CLX07 Comdty,11/2007,74.26,CLX07 Comdty,11/2007,75.8,CLX07 Comdty,11/2007,71.95,CLX07 Comdty,11/2007,68.18
6M,,,,,,,CLZ07 Comdty,12/2007,93.49,CLZ07 Comdty,12/2007,79.28,CLZ07 Comdty,12/2007,73.36,CLZ07 Comdty,12/2007,75.29,CLZ07 Comdty,12/2007,72.17,CLZ07 Comdty,12/2007,68.65
7M,,,,CLF08 Comdty,1/2008,89.31,CLF08 Comdty,1/2008,92.45,CLF08 Comdty,1/2008,78.5,CLF08 Comdty,1/2008,72.7,CLF08 Comdty,1/2008,74.82,CLF08 Comdty,1/2008,72.38,CLF08 Comdty,1/2008,69.05
8M,CLG08 Comdty,2/2008,99.62,CLG08 Comdty,2/2008,89.04,CLG08 Comdty,2/2008,91.4,CLG08 Comdty,2/2008,77.87,CLG08 Comdty,2/2008,72.19,CLG08 Comdty,2/2008,74.41,CLG08 Comdty,2/2008,72.57,CLG08 Comdty,2/2008,69.4
9M,CLH08 Comdty,3/2008,99.33,CLH08 Comdty,3/2008,88.69,CLH08 Comdty,3/2008,90.47,CLH08 Comdty,3/2008,77.34,CLH08 Comdty,3/2008,71.82,CLH08 Comdty,3/2008,74.1,CLH08 Comdty,3/2008,72.74,CLH08 Comdty,3/2008,69.68
10M,CLJ08 Comdty,4/2008,98.74,CLJ08 Comdty,4/2008,88.36,CLJ08 Comdty,4/2008,89.6,CLJ08 Comdty,4/2008,76.86,CLJ08 Comdty,4/2008,71.56,CLJ08 Comdty,4/2008,73.85,CLJ08 Comdty,4/2008,72.89,CLJ08 Comdty,4/2008,69.91
11M,CLK08 Comdty,5/2008,98.09,CLK08 Comdty,5/2008,88.06,CLK08 Comdty,5/2008,88.8,CLK08 Comdty,5/2008,76.44,CLK08 Comdty,5/2008,71.38,CLK08 Comdty,5/2008,73.67,CLK08 Comdty,5/2008,73.02,CLK08 Comdty,5/2008,70.11
1Y,CLM08 Comdty,6/2008,97.42,CLM08 Comdty,6/2008,87.76,CLM08 Comdty,6/2008,88.04,CLM08 Comdty,6/2008,76.05,CLM08 Comdty,6/2008,71.23,CLM08 Comdty,6/2008,73.51,CLM08 Comdty,6/2008,73.14,CLM08 Comdty,6/2008,70.3
13M,CLN08 Comdty,7/2008,96.8,CLN08 Comdty,7/2008,87.49,CLN08 Comdty,7/2008,87.33,CLN08 Comdty,7/2008,75.68,CLN08 Comdty,7/2008,71.09,CLN08 Comdty,7/2008,73.37,CLN08 Comdty,7/2008,73.22,CLN08 Comdty,7/2008,70.45
