Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 10/1/2012 USD/barrel",,,"Crude Oil, WTI (NYM) 9/4/2012 USD/barrel",,,"Crude Oil, WTI (NYM) 8/1/2012 USD/barrel",,,"Crude Oil, WTI (NYM) 7/2/2012 USD/barrel",,,"Crude Oil, WTI (NYM) 6/1/2012 USD/barrel",,,"Crude Oil, WTI (NYM) 5/1/2012 USD/barrel",,,"Crude Oil, WTI (NYM) 4/2/2012 USD/barrel",,,"Crude Oil, WTI (NYM) 3/1/2012 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLJ12 Comdty,4/2012,108.84
2M,,,,,,,,,,,,,,,,,,,CLK12 Comdty,5/2012,105.23,CLK12 Comdty,5/2012,109.27
3M,,,,,,,,,,,,,,,,CLM12 Comdty,6/2012,106.16,CLM12 Comdty,6/2012,105.76,CLM12 Comdty,6/2012,109.68
4M,,,,,,,,,,,,,CLN12 Comdty,7/2012,83.23,CLN12 Comdty,7/2012,106.5,CLN12 Comdty,7/2012,106.27,CLN12 Comdty,7/2012,109.93
5M,,,,,,,,,,CLQ12 Comdty,8/2012,83.75,CLQ12 Comdty,8/2012,83.56,CLQ12 Comdty,8/2012,106.74,CLQ12 Comdty,8/2012,106.67,CLQ12 Comdty,8/2012,109.94
6M,,,,,,,CLU12 Comdty,9/2012,88.91,CLU12 Comdty,9/2012,84.15,CLU12 Comdty,9/2012,83.89,CLU12 Comdty,9/2012,106.86,CLU12 Comdty,9/2012,106.98,CLU12 Comdty,9/2012,109.8
7M,,,,CLV12 Comdty,10/2012,95.3,CLV12 Comdty,10/2012,89.17,CLV12 Comdty,10/2012,84.54,CLV12 Comdty,10/2012,84.2,CLV12 Comdty,10/2012,106.92,CLV12 Comdty,10/2012,107.2,CLV12 Comdty,10/2012,109.6
8M,CLX12 Comdty,11/2012,92.48,CLX12 Comdty,11/2012,95.64,CLX12 Comdty,11/2012,89.52,CLX12 Comdty,11/2012,84.98,CLX12 Comdty,11/2012,84.46,CLX12 Comdty,11/2012,106.98,CLX12 Comdty,11/2012,107.37,CLX12 Comdty,11/2012,109.39
9M,CLZ12 Comdty,12/2012,92.85,CLZ12 Comdty,12/2012,95.98,CLZ12 Comdty,12/2012,89.99,CLZ12 Comdty,12/2012,85.43,CLZ12 Comdty,12/2012,84.71,CLZ12 Comdty,12/2012,107.02,CLZ12 Comdty,12/2012,107.51,CLZ12 Comdty,12/2012,109.19
10M,CLF13 Comdty,1/2013,93.28,CLF13 Comdty,1/2013,96.43,CLF13 Comdty,1/2013,90.47,CLF13 Comdty,1/2013,85.86,CLF13 Comdty,1/2013,84.95,CLF13 Comdty,1/2013,107.04,CLF13 Comdty,1/2013,107.58,CLF13 Comdty,1/2013,108.92
11M,CLG13 Comdty,2/2013,93.7,CLG13 Comdty,2/2013,96.83,CLG13 Comdty,2/2013,90.85,CLG13 Comdty,2/2013,86.23,CLG13 Comdty,2/2013,85.14,CLG13 Comdty,2/2013,106.92,CLG13 Comdty,2/2013,107.54,CLG13 Comdty,2/2013,108.57
1Y,CLH13 Comdty,3/2013,94.04,CLH13 Comdty,3/2013,97.14,CLH13 Comdty,3/2013,91.1,CLH13 Comdty,3/2013,86.54,CLH13 Comdty,3/2013,85.28,CLH13 Comdty,3/2013,106.69,CLH13 Comdty,3/2013,107.4,CLH13 Comdty,3/2013,108.11
13M,CLJ13 Comdty,4/2013,94.27,CLJ13 Comdty,4/2013,97.3,CLJ13 Comdty,4/2013,91.23,CLJ13 Comdty,4/2013,86.74,CLJ13 Comdty,4/2013,85.35,CLJ13 Comdty,4/2013,106.35,CLJ13 Comdty,4/2013,107.14,CLJ13 Comdty,4/2013,107.57
14M,CLK13 Comdty,5/2013,94.42,CLK13 Comdty,5/2013,97.34,CLK13 Comdty,5/2013,91.27,CLK13 Comdty,5/2013,86.89,CLK13 Comdty,5/2013,85.42,CLK13 Comdty,5/2013,105.91,CLK13 Comdty,5/2013,106.81,CLK13 Comdty,5/2013,106.99
15M,CLM13 Comdty,6/2013,94.45,CLM13 Comdty,6/2013,97.26,CLM13 Comdty,6/2013,91.28,CLM13 Comdty,6/2013,86.99,CLM13 Comdty,6/2013,85.48,CLM13 Comdty,6/2013,105.47,CLM13 Comdty,6/2013,106.49,CLM13 Comdty,6/2013,106.38
16M,CLN13 Comdty,7/2013,94.38,CLN13 Comdty,7/2013,97.1,CLN13 Comdty,7/2013,91.28,CLN13 Comdty,7/2013,87.03,CLN13 Comdty,7/2013,85.48,CLN13 Comdty,7/2013,104.98,CLN13 Comdty,7/2013,106.07,CLN13 Comdty,7/2013,105.74
17M,CLQ13 Comdty,8/2013,94.26,CLQ13 Comdty,8/2013,96.89,CLQ13 Comdty,8/2013,91.25,CLQ13 Comdty,8/2013,86.99,CLQ13 Comdty,8/2013,85.46,CLQ13 Comdty,8/2013,104.5,CLQ13 Comdty,8/2013,105.66,CLQ13 Comdty,8/2013,105.15
18M,CLU13 Comdty,9/2013,94.13,CLU13 Comdty,9/2013,96.61,CLU13 Comdty,9/2013,91.22,CLU13 Comdty,9/2013,86.91,CLU13 Comdty,9/2013,85.48,CLU13 Comdty,9/2013,104.06,CLU13 Comdty,9/2013,105.3,CLU13 Comdty,9/2013,104.62
19M,CLV13 Comdty,10/2013,93.97,CLV13 Comdty,10/2013,96.32,CLV13 Comdty,10/2013,91.18,CLV13 Comdty,10/2013,86.83,CLV13 Comdty,10/2013,85.5,CLV13 Comdty,10/2013,103.67,CLV13 Comdty,10/2013,105,CLV13 Comdty,10/2013,104.13
20M,CLX13 Comdty,11/2013,93.84,CLX13 Comdty,11/2013,96.03,CLX13 Comdty,11/2013,91.15,CLX13 Comdty,11/2013,86.75,CLX13 Comdty,11/2013,85.51,CLX13 Comdty,11/2013,103.28,CLX13 Comdty,11/2013,104.66,CLX13 Comdty,11/2013,103.65
21M,CLZ13 Comdty,12/2013,93.71,CLZ13 Comdty,12/2013,95.76,CLZ13 Comdty,12/2013,91.09,CLZ13 Comdty,12/2013,86.69,CLZ13 Comdty,12/2013,85.55,CLZ13 Comdty,12/2013,102.92,CLZ13 Comdty,12/2013,104.35,CLZ13 Comdty,12/2013,103.24
22M,CLF14 Comdty,1/2014,93.44,CLF14 Comdty,1/2014,95.39,CLF14 Comdty,1/2014,90.93,CLF14 Comdty,1/2014,86.54,CLF14 Comdty,1/2014,85.48,CLF14 Comdty,1/2014,102.37,CLF14 Comdty,1/2014,103.84,CLF14 Comdty,1/2014,102.65
23M,CLG14 Comdty,2/2014,93.2,CLG14 Comdty,2/2014,95.07,CLG14 Comdty,2/2014,90.78,CLG14 Comdty,2/2014,86.44,CLG14 Comdty,2/2014,85.44,CLG14 Comdty,2/2014,101.85,CLG14 Comdty,2/2014,103.35,CLG14 Comdty,2/2014,102.09
2Y,CLH14 Comdty,3/2014,92.93,CLH14 Comdty,3/2014,94.74,CLH14 Comdty,3/2014,90.62,CLH14 Comdty,3/2014,86.34,CLH14 Comdty,3/2014,85.4,CLH14 Comdty,3/2014,101.33,CLH14 Comdty,3/2014,102.88,CLH14 Comdty,3/2014,101.52
25M,CLJ14 Comdty,4/2014,92.7,CLJ14 Comdty,4/2014,94.44,CLJ14 Comdty,4/2014,90.47,CLJ14 Comdty,4/2014,86.24,CLJ14 Comdty,4/2014,85.37,CLJ14 Comdty,4/2014,100.81,CLJ14 Comdty,4/2014,102.43,CLJ14 Comdty,4/2014,100.95
26M,CLK14 Comdty,5/2014,92.48,CLK14 Comdty,5/2014,94.14,CLK14 Comdty,5/2014,90.35,CLK14 Comdty,5/2014,86.13,CLK14 Comdty,5/2014,85.34,CLK14 Comdty,5/2014,100.3,CLK14 Comdty,5/2014,101.99,CLK14 Comdty,5/2014,100.43
27M,CLM14 Comdty,6/2014,92.27,CLM14 Comdty,6/2014,93.84,CLM14 Comdty,6/2014,90.24,CLM14 Comdty,6/2014,86.02,CLM14 Comdty,6/2014,85.32,CLM14 Comdty,6/2014,99.83,CLM14 Comdty,6/2014,101.58,CLM14 Comdty,6/2014,99.91
28M,CLN14 Comdty,7/2014,92.02,CLN14 Comdty,7/2014,93.48,CLN14 Comdty,7/2014,90.08,CLN14 Comdty,7/2014,85.9,CLN14 Comdty,7/2014,85.28,CLN14 Comdty,7/2014,99.31,CLN14 Comdty,7/2014,101.12,CLN14 Comdty,7/2014,99.39
29M,CLQ4 Comdty,8/2014,91.8,CLQ4 Comdty,8/2014,93.18,CLQ4 Comdty,8/2014,89.93,CLQ4 Comdty,8/2014,85.79,CLQ4 Comdty,8/2014,85.24,CLQ4 Comdty,8/2014,98.83,CLQ4 Comdty,8/2014,100.68,CLQ4 Comdty,8/2014,98.88
30M,CLU4 Comdty,9/2014,91.61,CLU4 Comdty,9/2014,92.91,CLU4 Comdty,9/2014,89.81,CLU4 Comdty,9/2014,85.69,CLU4 Comdty,9/2014,85.23,CLU4 Comdty,9/2014,98.41,CLU4 Comdty,9/2014,100.31,CLU4 Comdty,9/2014,98.37
31M,CLV4 Comdty,10/2014,91.45,CLV4 Comdty,10/2014,92.68,CLV4 Comdty,10/2014,89.74,CLV4 Comdty,10/2014,85.63,CLV4 Comdty,10/2014,85.25,CLV4 Comdty,10/2014,98,CLV4 Comdty,10/2014,99.95,CLV4 Comdty,10/2014,97.9
32M,CLX4 Comdty,11/2014,91.33,CLX4 Comdty,11/2014,92.48,CLX4 Comdty,11/2014,89.69,CLX4 Comdty,11/2014,85.61,CLX4 Comdty,11/2014,85.3,CLX4 Comdty,11/2014,97.66,CLX4 Comdty,11/2014,99.66,CLX4 Comdty,11/2014,97.51
33M,CLZ4 Comdty,12/2014,91.25,CLZ4 Comdty,12/2014,92.33,CLZ4 Comdty,12/2014,89.67,CLZ4 Comdty,12/2014,85.6,CLZ4 Comdty,12/2014,85.38,CLZ4 Comdty,12/2014,97.38,CLZ4 Comdty,12/2014,99.43,CLZ4 Comdty,12/2014,97.18
34M,CLF5 Comdty,1/2015,90.99,CLF5 Comdty,1/2015,92,CLF5 Comdty,1/2015,89.53,CLF5 Comdty,1/2015,85.45,CLF5 Comdty,1/2015,85.28,CLF5 Comdty,1/2015,96.92,CLF5 Comdty,1/2015,99.07,CLF5 Comdty,1/2015,96.81
35M,CLG5 Comdty,2/2015,90.74,CLG5 Comdty,2/2015,91.68,CLG5 Comdty,2/2015,89.4,CLG5 Comdty,2/2015,85.32,CLG5 Comdty,2/2015,85.18,CLG5 Comdty,2/2015,96.47,CLG5 Comdty,2/2015,98.72,CLG5 Comdty,2/2015,96.45
3Y,CLH5 Comdty,3/2015,90.49,CLH5 Comdty,3/2015,91.37,CLH5 Comdty,3/2015,89.28,CLH5 Comdty,3/2015,85.21,CLH5 Comdty,3/2015,85.11,CLH5 Comdty,3/2015,96.02,CLH5 Comdty,3/2015,98.37,CLH5 Comdty,3/2015,96.09
37M,CLJ5 Comdty,4/2015,90.25,CLJ5 Comdty,4/2015,91.08,CLJ5 Comdty,4/2015,89.19,CLJ5 Comdty,4/2015,85.13,CLJ5 Comdty,4/2015,85.05,CLJ5 Comdty,4/2015,95.58,CLJ5 Comdty,4/2015,98.03,CLJ5 Comdty,4/2015,95.74
38M,CLK5 Comdty,5/2015,90.05,CLK5 Comdty,5/2015,90.82,CLK5 Comdty,5/2015,89.1,CLK5 Comdty,5/2015,85.06,CLK5 Comdty,5/2015,85.02,CLK5 Comdty,5/2015,95.17,CLK5 Comdty,5/2015,97.7,CLK5 Comdty,5/2015,95.39
39M,CLM5 Comdty,6/2015,89.88,CLM5 Comdty,6/2015,90.61,CLM5 Comdty,6/2015,89.03,CLM5 Comdty,6/2015,85,CLM5 Comdty,6/2015,85,CLM5 Comdty,6/2015,94.8,CLM5 Comdty,6/2015,97.38,CLM5 Comdty,6/2015,95.06
40M,CLN5 Comdty,7/2015,89.71,CLN5 Comdty,7/2015,90.36,CLN5 Comdty,7/2015,88.98,CLN5 Comdty,7/2015,84.95,CLN5 Comdty,7/2015,85.01,CLN5 Comdty,7/2015,94.46,CLN5 Comdty,7/2015,97.09,CLN5 Comdty,7/2015,94.74
41M,CLQ5 Comdty,8/2015,89.55,CLQ5 Comdty,8/2015,90.14,CLQ5 Comdty,8/2015,88.95,CLQ5 Comdty,8/2015,84.92,CLQ5 Comdty,8/2015,85.04,CLQ5 Comdty,8/2015,94.12,CLQ5 Comdty,8/2015,96.83,CLQ5 Comdty,8/2015,94.44
42M,CLU5 Comdty,9/2015,89.41,CLU5 Comdty,9/2015,89.95,CLU5 Comdty,9/2015,88.92,CLU5 Comdty,9/2015,84.9,CLU5 Comdty,9/2015,85.08,CLU5 Comdty,9/2015,93.79,CLU5 Comdty,9/2015,96.58,CLU5 Comdty,9/2015,94.15
43M,CLV5 Comdty,10/2015,89.29,CLV5 Comdty,10/2015,89.77,CLV5 Comdty,10/2015,88.91,CLV5 Comdty,10/2015,84.9,CLV5 Comdty,10/2015,85.12,CLV5 Comdty,10/2015,93.46,CLV5 Comdty,10/2015,96.35,CLV5 Comdty,10/2015,93.87
44M,CLX5 Comdty,11/2015,89.18,CLX5 Comdty,11/2015,89.6,CLX5 Comdty,11/2015,88.91,CLX5 Comdty,11/2015,84.91,CLX5 Comdty,11/2015,85.17,CLX5 Comdty,11/2015,93.14,CLX5 Comdty,11/2015,96.13,CLX5 Comdty,11/2015,93.61
45M,CLZ5 Comdty,12/2015,89.09,CLZ5 Comdty,12/2015,89.44,CLZ5 Comdty,12/2015,88.92,CLZ5 Comdty,12/2015,84.93,CLZ5 Comdty,12/2015,85.22,CLZ5 Comdty,12/2015,92.82,CLZ5 Comdty,12/2015,95.93,CLZ5 Comdty,12/2015,93.36
46M,CLF6 Comdty,1/2016,88.96,CLF6 Comdty,1/2016,89.24,CLF6 Comdty,1/2016,88.86,CLF6 Comdty,1/2016,84.86,CLF6 Comdty,1/2016,85.19,CLF6 Comdty,1/2016,92.52,CLF6 Comdty,1/2016,95.75,CLF6 Comdty,1/2016,93.17
47M,CLG6 Comdty,2/2016,88.83,CLG6 Comdty,2/2016,89.05,CLG6 Comdty,2/2016,88.82,CLG6 Comdty,2/2016,84.8,CLG6 Comdty,2/2016,85.16,CLG6 Comdty,2/2016,92.23,CLG6 Comdty,2/2016,95.57,CLG6 Comdty,2/2016,92.99
4Y,CLH6 Comdty,3/2016,88.7,CLH6 Comdty,3/2016,88.86,CLH6 Comdty,3/2016,88.78,CLH6 Comdty,3/2016,84.74,CLH6 Comdty,3/2016,85.14,CLH6 Comdty,3/2016,91.94,CLH6 Comdty,3/2016,95.39,CLH6 Comdty,3/2016,92.81
49M,CLJ6 Comdty,4/2016,88.58,CLJ6 Comdty,4/2016,88.68,CLJ6 Comdty,4/2016,88.75,CLJ6 Comdty,4/2016,84.69,CLJ6 Comdty,4/2016,85.13,CLJ6 Comdty,4/2016,91.65,CLJ6 Comdty,4/2016,95.22,CLJ6 Comdty,4/2016,92.63
50M,CLK6 Comdty,5/2016,88.47,CLK6 Comdty,5/2016,88.51,CLK6 Comdty,5/2016,88.72,CLK6 Comdty,5/2016,84.64,CLK6 Comdty,5/2016,85.12,CLK6 Comdty,5/2016,91.36,CLK6 Comdty,5/2016,95.05,CLK6 Comdty,5/2016,92.45
51M,CLM6 Comdty,6/2016,88.37,CLM6 Comdty,6/2016,88.35,CLM6 Comdty,6/2016,88.69,CLM6 Comdty,6/2016,84.59,CLM6 Comdty,6/2016,85.11,CLM6 Comdty,6/2016,91.08,CLM6 Comdty,6/2016,94.89,CLM6 Comdty,6/2016,92.27
52M,CLN6 Comdty,7/2016,88.27,CLN6 Comdty,7/2016,88.19,CLN6 Comdty,7/2016,88.67,CLN6 Comdty,7/2016,84.54,CLN6 Comdty,7/2016,85.11,CLN6 Comdty,7/2016,90.8,CLN6 Comdty,7/2016,94.73,CLN6 Comdty,7/2016,92.1
53M,CLQ6 Comdty,8/2016,88.18,CLQ6 Comdty,8/2016,88.04,CLQ6 Comdty,8/2016,88.66,CLQ6 Comdty,8/2016,84.5,CLQ6 Comdty,8/2016,85.11,CLQ6 Comdty,8/2016,90.53,CLQ6 Comdty,8/2016,94.57,CLQ6 Comdty,8/2016,91.93
54M,CLU6 Comdty,9/2016,88.1,CLU6 Comdty,9/2016,87.89,CLU6 Comdty,9/2016,88.65,CLU6 Comdty,9/2016,84.46,CLU6 Comdty,9/2016,85.11,CLU6 Comdty,9/2016,90.27,CLU6 Comdty,9/2016,94.42,CLU6 Comdty,9/2016,91.77
55M,CLV6 Comdty,10/2016,88.02,CLV6 Comdty,10/2016,87.74,CLV6 Comdty,10/2016,88.64,CLV6 Comdty,10/2016,84.43,CLV6 Comdty,10/2016,85.12,CLV6 Comdty,10/2016,90.01,CLV6 Comdty,10/2016,94.27,CLV6 Comdty,10/2016,91.61
56M,CLX6 Comdty,11/2016,87.94,CLX6 Comdty,11/2016,87.59,CLX6 Comdty,11/2016,88.64,CLX6 Comdty,11/2016,84.4,CLX6 Comdty,11/2016,85.13,CLX6 Comdty,11/2016,89.76,CLX6 Comdty,11/2016,94.13,CLX6 Comdty,11/2016,91.45
57M,CLZ6 Comdty,12/2016,87.86,CLZ6 Comdty,12/2016,87.45,CLZ6 Comdty,12/2016,88.65,CLZ6 Comdty,12/2016,84.39,CLZ6 Comdty,12/2016,85.14,CLZ6 Comdty,12/2016,89.51,CLZ6 Comdty,12/2016,93.99,CLZ6 Comdty,12/2016,91.3
58M,CLF7 Comdty,1/2017,87.8,CLF7 Comdty,1/2017,87.35,CLF7 Comdty,1/2017,88.66,CLF7 Comdty,1/2017,84.35,CLF7 Comdty,1/2017,85.13,CLF7 Comdty,1/2017,89.36,CLF7 Comdty,1/2017,93.89,CLF7 Comdty,1/2017,91.16
59M,CLG7 Comdty,2/2017,87.74,CLG7 Comdty,2/2017,87.26,CLG7 Comdty,2/2017,88.68,CLG7 Comdty,2/2017,84.31,CLG7 Comdty,2/2017,85.13,CLG7 Comdty,2/2017,89.21,CLG7 Comdty,2/2017,93.79,CLG7 Comdty,2/2017,91.02
5Y,CLH7 Comdty,3/2017,87.69,CLH7 Comdty,3/2017,87.18,CLH7 Comdty,3/2017,88.7,CLH7 Comdty,3/2017,84.28,CLH7 Comdty,3/2017,85.13,CLH7 Comdty,3/2017,89.07,CLH7 Comdty,3/2017,93.69,CLH7 Comdty,3/2017,90.89
61M,CLJ7 Comdty,4/2017,87.64,CLJ7 Comdty,4/2017,87.11,CLJ7 Comdty,4/2017,88.72,CLJ7 Comdty,4/2017,84.25,CLJ7 Comdty,4/2017,85.14,CLJ7 Comdty,4/2017,88.93,CLJ7 Comdty,4/2017,93.6,CLJ7 Comdty,4/2017,90.77
62M,CLK7 Comdty,5/2017,87.6,CLK7 Comdty,5/2017,87.04,CLK7 Comdty,5/2017,88.74,CLK7 Comdty,5/2017,84.22,CLK7 Comdty,5/2017,85.15,CLK7 Comdty,5/2017,88.79,CLK7 Comdty,5/2017,93.52,CLK7 Comdty,5/2017,90.65
63M,CLM7 Comdty,6/2017,87.56,CLM7 Comdty,6/2017,86.97,CLM7 Comdty,6/2017,88.76,CLM7 Comdty,6/2017,84.19,CLM7 Comdty,6/2017,85.16,CLM7 Comdty,6/2017,88.66,CLM7 Comdty,6/2017,93.44,CLM7 Comdty,6/2017,90.54
64M,CLN7 Comdty,7/2017,87.53,CLN7 Comdty,7/2017,86.9,CLN7 Comdty,7/2017,88.79,CLN7 Comdty,7/2017,84.17,CLN7 Comdty,7/2017,85.17,CLN7 Comdty,7/2017,88.53,CLN7 Comdty,7/2017,93.37,CLN7 Comdty,7/2017,90.44
65M,CLQ7 Comdty,8/2017,87.5,CLQ7 Comdty,8/2017,86.83,CLQ7 Comdty,8/2017,88.82,CLQ7 Comdty,8/2017,84.15,CLQ7 Comdty,8/2017,85.18,CLQ7 Comdty,8/2017,88.4,CLQ7 Comdty,8/2017,93.3,CLQ7 Comdty,8/2017,90.34
66M,CLU7 Comdty,9/2017,87.47,CLU7 Comdty,9/2017,86.77,CLU7 Comdty,9/2017,88.85,CLU7 Comdty,9/2017,84.13,CLU7 Comdty,9/2017,85.19,CLU7 Comdty,9/2017,88.27,CLU7 Comdty,9/2017,93.23,CLU7 Comdty,9/2017,90.25
67M,CLV7 Comdty,10/2017,87.44,CLV7 Comdty,10/2017,86.71,CLV7 Comdty,10/2017,88.88,CLV7 Comdty,10/2017,84.11,CLV7 Comdty,10/2017,85.2,CLV7 Comdty,10/2017,88.15,CLV7 Comdty,10/2017,93.16,CLV7 Comdty,10/2017,90.16
68M,CLX7 Comdty,11/2017,87.42,CLX7 Comdty,11/2017,86.65,CLX7 Comdty,11/2017,88.92,CLX7 Comdty,11/2017,84.1,CLX7 Comdty,11/2017,85.22,CLX7 Comdty,11/2017,88.03,CLX7 Comdty,11/2017,93.09,CLX7 Comdty,11/2017,90.08
69M,CLZ7 Comdty,12/2017,87.4,CLZ7 Comdty,12/2017,86.6,CLZ7 Comdty,12/2017,88.96,CLZ7 Comdty,12/2017,84.09,CLZ7 Comdty,12/2017,85.24,CLZ7 Comdty,12/2017,87.91,CLZ7 Comdty,12/2017,93.02,CLZ7 Comdty,12/2017,90
75M,CLM8 Comdty,6/2018,87.4,CLM8 Comdty,6/2018,86.43,CLM8 Comdty,6/2018,89.01,CLM8 Comdty,6/2018,84.2,CLM8 Comdty,6/2018,85.33,CLM8 Comdty,6/2018,87.23,CLM8 Comdty,6/2018,92.6,CLM8 Comdty,6/2018,89.45
81M,CLZ8 Comdty,12/2018,87.4,CLZ8 Comdty,12/2018,86.26,CLZ8 Comdty,12/2018,89.06,CLZ8 Comdty,12/2018,84.29,CLZ8 Comdty,12/2018,85.41,CLZ8 Comdty,12/2018,86.56,CLZ8 Comdty,12/2018,92.18,CLZ8 Comdty,12/2018,88.9
87M,CLM9 Comdty,6/2019,87.4,CLM9 Comdty,6/2019,86.2,CLM9 Comdty,6/2019,89.08,CLM9 Comdty,6/2019,84.38,CLM9 Comdty,6/2019,85.51,CLM9 Comdty,6/2019,85.93,CLM9 Comdty,6/2019,91.81,CLM9 Comdty,6/2019,88.52
