Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 9/1/2000 USD/barrel",,,"Crude Oil, WTI (NYM) 8/1/2000 USD/barrel",,,"Crude Oil, WTI (NYM) 7/5/2000 USD/barrel",,,"Crude Oil, WTI (NYM) 6/1/2000 USD/barrel",,,"Crude Oil, WTI (NYM) 5/1/2000 USD/barrel",,,"Crude Oil, WTI (NYM) 4/3/2000 USD/barrel",,,"Crude Oil, WTI (NYM) 3/1/2000 USD/barrel",,,"Crude Oil, WTI (NYM) 2/1/2000 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLH00 Comdty,3/2000,28.22
2M,,,,,,,,,,,,,,,,,,,CLJ00 Comdty,4/2000,31.77,CLJ00 Comdty,4/2000,27.26
3M,,,,,,,,,,,,,,,,CLK00 Comdty,5/2000,26.43,CLK00 Comdty,5/2000,30.01,CLK00 Comdty,5/2000,26.49
4M,,,,,,,,,,,,,CLM00 Comdty,6/2000,25.87,CLM00 Comdty,6/2000,25.94,CLM00 Comdty,6/2000,28.69,CLM00 Comdty,6/2000,25.82
5M,,,,,,,,,,CLN00 Comdty,7/2000,30.14,CLN00 Comdty,7/2000,25.6,CLN00 Comdty,7/2000,25.62,CLN00 Comdty,7/2000,27.66,CLN00 Comdty,7/2000,25.18
6M,,,,,,,CLQ00 Comdty,8/2000,30.67,CLQ00 Comdty,8/2000,29.31,CLQ00 Comdty,8/2000,25.25,CLQ00 Comdty,8/2000,25.34,CLQ00 Comdty,8/2000,26.87,CLQ00 Comdty,8/2000,24.61
7M,,,,CLU00 Comdty,9/2000,27.79,CLU00 Comdty,9/2000,29.6,CLU00 Comdty,9/2000,28.71,CLU00 Comdty,9/2000,24.95,CLU00 Comdty,9/2000,25.06,CLU00 Comdty,9/2000,26.19,CLU00 Comdty,9/2000,24.13
8M,CLV00 Comdty,10/2000,33.38,CLV00 Comdty,10/2000,27.58,CLV00 Comdty,10/2000,28.9,CLV00 Comdty,10/2000,28.2,CLV00 Comdty,10/2000,24.67,CLV00 Comdty,10/2000,24.77,CLV00 Comdty,10/2000,25.61,CLV00 Comdty,10/2000,23.66
9M,CLX00 Comdty,11/2000,32.42,CLX00 Comdty,11/2000,27.44,CLX00 Comdty,11/2000,28.35,CLX00 Comdty,11/2000,27.72,CLX00 Comdty,11/2000,24.39,CLX00 Comdty,11/2000,24.48,CLX00 Comdty,11/2000,25.12,CLX00 Comdty,11/2000,23.23
10M,CLZ00 Comdty,12/2000,31.79,CLZ00 Comdty,12/2000,27.25,CLZ00 Comdty,12/2000,27.88,CLZ00 Comdty,12/2000,27.26,CLZ00 Comdty,12/2000,24.12,CLZ00 Comdty,12/2000,24.18,CLZ00 Comdty,12/2000,24.66,CLZ00 Comdty,12/2000,22.84
11M,CLF01 Comdty,1/2001,31.2,CLF01 Comdty,1/2001,27.03,CLF01 Comdty,1/2001,27.42,CLF01 Comdty,1/2001,26.85,CLF01 Comdty,1/2001,23.86,CLF01 Comdty,1/2001,23.86,CLF01 Comdty,1/2001,24.2,CLF01 Comdty,1/2001,22.47
1Y,CLG01 Comdty,2/2001,30.64,CLG01 Comdty,2/2001,26.8,CLG01 Comdty,2/2001,27,CLG01 Comdty,2/2001,26.47,CLG01 Comdty,2/2001,23.6,CLG01 Comdty,2/2001,23.54,CLG01 Comdty,2/2001,23.77,CLG01 Comdty,2/2001,22.12
13M,CLH01 Comdty,3/2001,30.14,CLH01 Comdty,3/2001,26.56,CLH01 Comdty,3/2001,26.6,CLH01 Comdty,3/2001,26.1,CLH01 Comdty,3/2001,23.34,CLH01 Comdty,3/2001,23.24,CLH01 Comdty,3/2001,23.35,CLH01 Comdty,3/2001,21.78
14M,CLJ01 Comdty,4/2001,29.67,CLJ01 Comdty,4/2001,26.32,CLJ01 Comdty,4/2001,26.21,CLJ01 Comdty,4/2001,25.73,CLJ01 Comdty,4/2001,23.09,CLJ01 Comdty,4/2001,22.94,CLJ01 Comdty,4/2001,22.95,CLJ01 Comdty,4/2001,21.47
15M,CLK01 Comdty,5/2001,29.23,CLK01 Comdty,5/2001,26.08,CLK01 Comdty,5/2001,25.84,CLK01 Comdty,5/2001,25.36,CLK01 Comdty,5/2001,22.86,CLK01 Comdty,5/2001,22.66,CLK01 Comdty,5/2001,22.58,CLK01 Comdty,5/2001,21.19
16M,CLM01 Comdty,6/2001,28.81,CLM01 Comdty,6/2001,25.86,CLM01 Comdty,6/2001,25.49,CLM01 Comdty,6/2001,24.99,CLM01 Comdty,6/2001,22.64,CLM01 Comdty,6/2001,22.42,CLM01 Comdty,6/2001,22.24,CLM01 Comdty,6/2001,20.96
17M,CLN01 Comdty,7/2001,28.44,CLN01 Comdty,7/2001,25.64,CLN01 Comdty,7/2001,25.16,CLN01 Comdty,7/2001,24.64,CLN01 Comdty,7/2001,22.42,CLN01 Comdty,7/2001,22.21,CLN01 Comdty,7/2001,21.94,CLN01 Comdty,7/2001,20.74
18M,CLQ01 Comdty,8/2001,28.1,CLQ01 Comdty,8/2001,25.42,CLQ01 Comdty,8/2001,24.85,CLQ01 Comdty,8/2001,24.32,CLQ01 Comdty,8/2001,22.21,CLQ01 Comdty,8/2001,22.01,CLQ01 Comdty,8/2001,21.66,CLQ01 Comdty,8/2001,20.53
