Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 5/1/2001 USD/barrel",,,"Crude Oil, WTI (NYM) 4/2/2001 USD/barrel",,,"Crude Oil, WTI (NYM) 3/1/2001 USD/barrel",,,"Crude Oil, WTI (NYM) 2/1/2001 USD/barrel",,,"Crude Oil, WTI (NYM) 1/2/2001 USD/barrel",,,"Crude Oil, WTI (NYM) 12/1/2000 USD/barrel",,,"Crude Oil, WTI (NYM) 11/1/2000 USD/barrel",,,"Crude Oil, WTI (NYM) 10/2/2000 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLX00 Comdty,11/2000,32.18
2M,,,,,,,,,,,,,,,,,,,CLZ00 Comdty,12/2000,33.25,CLZ00 Comdty,12/2000,31.86
3M,,,,,,,,,,,,,,,,CLF01 Comdty,1/2001,32.02,CLF01 Comdty,1/2001,31.98,CLF01 Comdty,1/2001,31.57
4M,,,,,,,,,,,,,CLG01 Comdty,2/2001,27.21,CLG01 Comdty,2/2001,31.17,CLG01 Comdty,2/2001,31.17,CLG01 Comdty,2/2001,31.31
5M,,,,,,,,,,CLH01 Comdty,3/2001,29.82,CLH01 Comdty,3/2001,26.52,CLH01 Comdty,3/2001,30.36,CLH01 Comdty,3/2001,30.53,CLH01 Comdty,3/2001,31
6M,,,,,,,CLJ01 Comdty,4/2001,27.62,CLJ01 Comdty,4/2001,29.06,CLJ01 Comdty,4/2001,26.04,CLJ01 Comdty,4/2001,29.61,CLJ01 Comdty,4/2001,30.01,CLJ01 Comdty,4/2001,30.69
7M,,,,CLK01 Comdty,5/2001,25.59,CLK01 Comdty,5/2001,27.68,CLK01 Comdty,5/2001,28.42,CLK01 Comdty,5/2001,25.74,CLK01 Comdty,5/2001,28.94,CLK01 Comdty,5/2001,29.53,CLK01 Comdty,5/2001,30.38
8M,CLM01 Comdty,6/2001,28.94,CLM01 Comdty,6/2001,25.87,CLM01 Comdty,6/2001,27.55,CLM01 Comdty,6/2001,27.92,CLM01 Comdty,6/2001,25.48,CLM01 Comdty,6/2001,28.37,CLM01 Comdty,6/2001,29.06,CLM01 Comdty,6/2001,30.07
9M,CLN01 Comdty,7/2001,29.33,CLN01 Comdty,7/2001,25.92,CLN01 Comdty,7/2001,27.3,CLN01 Comdty,7/2001,27.47,CLN01 Comdty,7/2001,25.25,CLN01 Comdty,7/2001,27.87,CLN01 Comdty,7/2001,28.59,CLN01 Comdty,7/2001,29.73
