Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 6/1/2011 USD/barrel",,,"Crude Oil, WTI (NYM) 5/2/2011 USD/barrel",,,"Crude Oil, WTI (NYM) 4/1/2011 USD/barrel",,,"Crude Oil, WTI (NYM) 3/1/2011 USD/barrel",,,"Crude Oil, WTI (NYM) 2/1/2011 USD/barrel",,,"Crude Oil, WTI (NYM) 1/3/2011 USD/barrel",,,"Crude Oil, WTI (NYM) 12/1/2010 USD/barrel",,,"Crude Oil, WTI (NYM) 11/1/2010 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLZ10 Comdty,12/2010,82.95
2M,,,,,,,,,,,,,,,,,,,CLF11 Comdty,1/2011,86.75,CLF11 Comdty,1/2011,83.67
3M,,,,,,,,,,,,,,,,CLG11 Comdty,2/2011,91.55,CLG11 Comdty,2/2011,87.25,CLG11 Comdty,2/2011,84.24
4M,,,,,,,,,,,,,CLH11 Comdty,3/2011,90.77,CLH11 Comdty,3/2011,92.43,CLH11 Comdty,3/2011,87.63,CLH11 Comdty,3/2011,84.71
5M,,,,,,,,,,CLJ11 Comdty,4/2011,99.63,CLJ11 Comdty,4/2011,93.5,CLJ11 Comdty,4/2011,93.14,CLJ11 Comdty,4/2011,87.91,CLJ11 Comdty,4/2011,85.09
6M,,,,,,,CLK11 Comdty,5/2011,107.94,CLK11 Comdty,5/2011,101.4,CLK11 Comdty,5/2011,95.42,CLK11 Comdty,5/2011,93.72,CLK11 Comdty,5/2011,88.14,CLK11 Comdty,5/2011,85.45
7M,,,,CLM11 Comdty,6/2011,113.52,CLM11 Comdty,6/2011,108.5,CLM11 Comdty,6/2011,102.17,CLM11 Comdty,6/2011,96.52,CLM11 Comdty,6/2011,94.13,CLM11 Comdty,6/2011,88.35,CLM11 Comdty,6/2011,85.75
8M,CLN11 Comdty,7/2011,100.29,CLN11 Comdty,7/2011,114.04,CLN11 Comdty,7/2011,108.94,CLN11 Comdty,7/2011,102.75,CLN11 Comdty,7/2011,97.33,CLN11 Comdty,7/2011,94.45,CLN11 Comdty,7/2011,88.52,CLN11 Comdty,7/2011,86.03
9M,CLQ11 Comdty,8/2011,100.86,CLQ11 Comdty,8/2011,114.32,CLQ11 Comdty,8/2011,109.17,CLQ11 Comdty,8/2011,103.09,CLQ11 Comdty,8/2011,97.91,CLQ11 Comdty,8/2011,94.65,CLQ11 Comdty,8/2011,88.67,CLQ11 Comdty,8/2011,86.27
10M,CLU11 Comdty,9/2011,101.33,CLU11 Comdty,9/2011,114.44,CLU11 Comdty,9/2011,109.31,CLU11 Comdty,9/2011,103.37,CLU11 Comdty,9/2011,98.31,CLU11 Comdty,9/2011,94.77,CLU11 Comdty,9/2011,88.81,CLU11 Comdty,9/2011,86.5
11M,CLV11 Comdty,10/2011,101.72,CLV11 Comdty,10/2011,114.42,CLV11 Comdty,10/2011,109.41,CLV11 Comdty,10/2011,103.59,CLV11 Comdty,10/2011,98.66,CLV11 Comdty,10/2011,94.84,CLV11 Comdty,10/2011,88.96,CLV11 Comdty,10/2011,86.74
1Y,CLX11 Comdty,11/2011,102.03,CLX11 Comdty,11/2011,114.38,CLX11 Comdty,11/2011,109.42,CLX11 Comdty,11/2011,103.79,CLX11 Comdty,11/2011,98.99,CLX11 Comdty,11/2011,94.89,CLX11 Comdty,11/2011,89.12,CLX11 Comdty,11/2011,86.98
13M,CLZ11 Comdty,12/2011,102.28,CLZ11 Comdty,12/2011,114.33,CLZ11 Comdty,12/2011,109.35,CLZ11 Comdty,12/2011,103.92,CLZ11 Comdty,12/2011,99.33,CLZ11 Comdty,12/2011,94.92,CLZ11 Comdty,12/2011,89.3,CLZ11 Comdty,12/2011,87.23
14M,CLF12 Comdty,1/2012,102.46,CLF12 Comdty,1/2012,114.2,CLF12 Comdty,1/2012,109.16,CLF12 Comdty,1/2012,103.93,CLF12 Comdty,1/2012,99.6,CLF12 Comdty,1/2012,94.83,CLF12 Comdty,1/2012,89.36,CLF12 Comdty,1/2012,87.34
15M,CLG12 Comdty,2/2012,102.61,CLG12 Comdty,2/2012,114.02,CLG12 Comdty,2/2012,108.92,CLG12 Comdty,2/2012,103.82,CLG12 Comdty,2/2012,99.77,CLG12 Comdty,2/2012,94.7,CLG12 Comdty,2/2012,89.42,CLG12 Comdty,2/2012,87.44
16M,CLH12 Comdty,3/2012,102.74,CLH12 Comdty,3/2012,113.82,CLH12 Comdty,3/2012,108.67,CLH12 Comdty,3/2012,103.65,CLH12 Comdty,3/2012,99.86,CLH12 Comdty,3/2012,94.56,CLH12 Comdty,3/2012,89.47,CLH12 Comdty,3/2012,87.54
17M,CLJ12 Comdty,4/2012,102.86,CLJ12 Comdty,4/2012,113.61,CLJ12 Comdty,4/2012,108.37,CLJ12 Comdty,4/2012,103.4,CLJ12 Comdty,4/2012,99.92,CLJ12 Comdty,4/2012,94.44,CLJ12 Comdty,4/2012,89.52,CLJ12 Comdty,4/2012,87.63
18M,CLK12 Comdty,5/2012,102.97,CLK12 Comdty,5/2012,113.38,CLK12 Comdty,5/2012,108.04,CLK12 Comdty,5/2012,103.1,CLK12 Comdty,5/2012,99.97,CLK12 Comdty,5/2012,94.33,CLK12 Comdty,5/2012,89.57,CLK12 Comdty,5/2012,87.72
19M,CLM12 Comdty,6/2012,103.07,CLM12 Comdty,6/2012,113.12,CLM12 Comdty,6/2012,107.69,CLM12 Comdty,6/2012,102.86,CLM12 Comdty,6/2012,100.03,CLM12 Comdty,6/2012,94.25,CLM12 Comdty,6/2012,89.64,CLM12 Comdty,6/2012,87.82
20M,CLN12 Comdty,7/2012,103.07,CLN12 Comdty,7/2012,112.73,CLN12 Comdty,7/2012,107.28,CLN12 Comdty,7/2012,102.63,CLN12 Comdty,7/2012,99.98,CLN12 Comdty,7/2012,94.15,CLN12 Comdty,7/2012,89.66,CLN12 Comdty,7/2012,87.9
21M,CLQ12 Comdty,8/2012,102.97,CLQ12 Comdty,8/2012,112.33,CLQ12 Comdty,8/2012,106.86,CLQ12 Comdty,8/2012,102.4,CLQ12 Comdty,8/2012,99.95,CLQ12 Comdty,8/2012,94.05,CLQ12 Comdty,8/2012,89.67,CLQ12 Comdty,8/2012,87.97
22M,CLU12 Comdty,9/2012,102.87,CLU12 Comdty,9/2012,111.99,CLU12 Comdty,9/2012,106.46,CLU12 Comdty,9/2012,102.17,CLU12 Comdty,9/2012,99.93,CLU12 Comdty,9/2012,93.95,CLU12 Comdty,9/2012,89.68,CLU12 Comdty,9/2012,88.04
23M,CLV12 Comdty,10/2012,102.81,CLV12 Comdty,10/2012,111.72,CLV12 Comdty,10/2012,106.11,CLV12 Comdty,10/2012,102.02,CLV12 Comdty,10/2012,99.93,CLV12 Comdty,10/2012,93.88,CLV12 Comdty,10/2012,89.7,CLV12 Comdty,10/2012,88.11
2Y,CLX12 Comdty,11/2012,102.76,CLX12 Comdty,11/2012,111.51,CLX12 Comdty,11/2012,105.83,CLX12 Comdty,11/2012,101.9,CLX12 Comdty,11/2012,99.96,CLX12 Comdty,11/2012,93.84,CLX12 Comdty,11/2012,89.75,CLX12 Comdty,11/2012,88.19
25M,CLZ12 Comdty,12/2012,102.76,CLZ12 Comdty,12/2012,111.39,CLZ12 Comdty,12/2012,105.63,CLZ12 Comdty,12/2012,101.8,CLZ12 Comdty,12/2012,100.02,CLZ12 Comdty,12/2012,93.85,CLZ12 Comdty,12/2012,89.82,CLZ12 Comdty,12/2012,88.29
26M,CLF13 Comdty,1/2013,102.51,CLF13 Comdty,1/2013,110.98,CLF13 Comdty,1/2013,105.32,CLF13 Comdty,1/2013,101.58,CLF13 Comdty,1/2013,99.9,CLF13 Comdty,1/2013,93.7,CLF13 Comdty,1/2013,89.79,CLF13 Comdty,1/2013,88.29
27M,CLG13 Comdty,2/2013,102.27,CLG13 Comdty,2/2013,110.62,CLG13 Comdty,2/2013,105.02,CLG13 Comdty,2/2013,101.42,CLG13 Comdty,2/2013,99.78,CLG13 Comdty,2/2013,93.55,CLG13 Comdty,2/2013,89.76,CLG13 Comdty,2/2013,88.3
28M,CLH13 Comdty,3/2013,102.1,CLH13 Comdty,3/2013,110.28,CLH13 Comdty,3/2013,104.74,CLH13 Comdty,3/2013,101.27,CLH13 Comdty,3/2013,99.67,CLH13 Comdty,3/2013,93.4,CLH13 Comdty,3/2013,89.74,CLH13 Comdty,3/2013,88.31
29M,CLJ13 Comdty,4/2013,101.95,CLJ13 Comdty,4/2013,109.98,CLJ13 Comdty,4/2013,104.47,CLJ13 Comdty,4/2013,101.13,CLJ13 Comdty,4/2013,99.56,CLJ13 Comdty,4/2013,93.26,CLJ13 Comdty,4/2013,89.72,CLJ13 Comdty,4/2013,88.32
30M,CLK13 Comdty,5/2013,101.83,CLK13 Comdty,5/2013,109.69,CLK13 Comdty,5/2013,104.21,CLK13 Comdty,5/2013,101,CLK13 Comdty,5/2013,99.45,CLK13 Comdty,5/2013,93.12,CLK13 Comdty,5/2013,89.71,CLK13 Comdty,5/2013,88.34
31M,CLM13 Comdty,6/2013,101.73,CLM13 Comdty,6/2013,109.43,CLM13 Comdty,6/2013,103.96,CLM13 Comdty,6/2013,100.88,CLM13 Comdty,6/2013,99.34,CLM13 Comdty,6/2013,92.98,CLM13 Comdty,6/2013,89.7,CLM13 Comdty,6/2013,88.36
32M,CLN13 Comdty,7/2013,101.53,CLN13 Comdty,7/2013,109.12,CLN13 Comdty,7/2013,103.77,CLN13 Comdty,7/2013,100.77,CLN13 Comdty,7/2013,99.28,CLN13 Comdty,7/2013,92.87,CLN13 Comdty,7/2013,89.7,CLN13 Comdty,7/2013,88.39
33M,CLQ13 Comdty,8/2013,101.37,CLQ13 Comdty,8/2013,108.84,CLQ13 Comdty,8/2013,103.59,CLQ13 Comdty,8/2013,100.67,CLQ13 Comdty,8/2013,99.24,CLQ13 Comdty,8/2013,92.77,CLQ13 Comdty,8/2013,89.7,CLQ13 Comdty,8/2013,88.43
34M,CLU13 Comdty,9/2013,101.24,CLU13 Comdty,9/2013,108.59,CLU13 Comdty,9/2013,103.44,CLU13 Comdty,9/2013,100.59,CLU13 Comdty,9/2013,99.2,CLU13 Comdty,9/2013,92.69,CLU13 Comdty,9/2013,89.72,CLU13 Comdty,9/2013,88.48
35M,CLV13 Comdty,10/2013,101.18,CLV13 Comdty,10/2013,108.44,CLV13 Comdty,10/2013,103.3,CLV13 Comdty,10/2013,100.52,CLV13 Comdty,10/2013,99.17,CLV13 Comdty,10/2013,92.62,CLV13 Comdty,10/2013,89.74,CLV13 Comdty,10/2013,88.53
3Y,CLX13 Comdty,11/2013,101.16,CLX13 Comdty,11/2013,108.33,CLX13 Comdty,11/2013,103.18,CLX13 Comdty,11/2013,100.46,CLX13 Comdty,11/2013,99.15,CLX13 Comdty,11/2013,92.57,CLX13 Comdty,11/2013,89.77,CLX13 Comdty,11/2013,88.58
37M,CLZ13 Comdty,12/2013,101.2,CLZ13 Comdty,12/2013,108.23,CLZ13 Comdty,12/2013,103.08,CLZ13 Comdty,12/2013,100.41,CLZ13 Comdty,12/2013,99.14,CLZ13 Comdty,12/2013,92.53,CLZ13 Comdty,12/2013,89.8,CLZ13 Comdty,12/2013,88.63
38M,CLF14 Comdty,1/2014,101.03,CLF14 Comdty,1/2014,108.02,CLF14 Comdty,1/2014,102.94,CLF14 Comdty,1/2014,100.38,CLF14 Comdty,1/2014,99.07,CLF14 Comdty,1/2014,92.48,CLF14 Comdty,1/2014,89.78,CLF14 Comdty,1/2014,88.63
39M,CLG14 Comdty,2/2014,100.87,CLG14 Comdty,2/2014,107.83,CLG14 Comdty,2/2014,102.8,CLG14 Comdty,2/2014,100.36,CLG14 Comdty,2/2014,99,CLG14 Comdty,2/2014,92.43,CLG14 Comdty,2/2014,89.76,CLG14 Comdty,2/2014,88.63
40M,CLH14 Comdty,3/2014,100.73,CLH14 Comdty,3/2014,107.65,CLH14 Comdty,3/2014,102.66,CLH14 Comdty,3/2014,100.34,CLH14 Comdty,3/2014,98.93,CLH14 Comdty,3/2014,92.38,CLH14 Comdty,3/2014,89.74,CLH14 Comdty,3/2014,88.63
41M,CLJ14 Comdty,4/2014,100.6,CLJ14 Comdty,4/2014,107.47,CLJ14 Comdty,4/2014,102.53,CLJ14 Comdty,4/2014,100.32,CLJ14 Comdty,4/2014,98.87,CLJ14 Comdty,4/2014,92.34,CLJ14 Comdty,4/2014,89.72,CLJ14 Comdty,4/2014,88.64
42M,CLK14 Comdty,5/2014,100.49,CLK14 Comdty,5/2014,107.3,CLK14 Comdty,5/2014,102.4,CLK14 Comdty,5/2014,100.31,CLK14 Comdty,5/2014,98.82,CLK14 Comdty,5/2014,92.3,CLK14 Comdty,5/2014,89.71,CLK14 Comdty,5/2014,88.66
43M,CLM14 Comdty,6/2014,100.38,CLM14 Comdty,6/2014,107.14,CLM14 Comdty,6/2014,102.27,CLM14 Comdty,6/2014,100.3,CLM14 Comdty,6/2014,98.77,CLM14 Comdty,6/2014,92.26,CLM14 Comdty,6/2014,89.7,CLM14 Comdty,6/2014,88.69
