Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 10/1/2014 USD/barrel",,,"Crude Oil, WTI (NYM) 9/2/2014 USD/barrel",,,"Crude Oil, WTI (NYM) 8/1/2014 USD/barrel",,,"Crude Oil, WTI (NYM) 7/1/2014 USD/barrel",,,"Crude Oil, WTI (NYM) 6/2/2014 USD/barrel",,,"Crude Oil, WTI (NYM) 5/1/2014 USD/barrel",,,"Crude Oil, WTI (NYM) 4/1/2014 USD/barrel",,,"Crude Oil, WTI (NYM) 3/3/2014 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLJ14 Comdty,4/2014,104.92
2M,,,,,,,,,,,,,,,,,,,CLK14 Comdty,5/2014,99.74,CLK14 Comdty,5/2014,104.22
3M,,,,,,,,,,,,,,,,CLM14 Comdty,6/2014,99.42,CLM14 Comdty,6/2014,99.05,CLM14 Comdty,6/2014,103.16
4M,,,,,,,,,,,,,CLN14 Comdty,7/2014,102.47,CLN14 Comdty,7/2014,98.75,CLN14 Comdty,7/2014,98.18,CLN14 Comdty,7/2014,102.03
5M,,,,,,,,,,CLQ4 Comdty,8/2014,105.34,CLQ4 Comdty,8/2014,101.79,CLQ4 Comdty,8/2014,97.91,CLQ4 Comdty,8/2014,97.28,CLQ4 Comdty,8/2014,100.85
6M,,,,,,,CLU4 Comdty,9/2014,97.88,CLU4 Comdty,9/2014,104.74,CLU4 Comdty,9/2014,100.89,CLU4 Comdty,9/2014,97.04,CLU4 Comdty,9/2014,96.37,CLU4 Comdty,9/2014,99.69
7M,,,,CLV4 Comdty,10/2014,92.88,CLV4 Comdty,10/2014,96.94,CLV4 Comdty,10/2014,103.86,CLV4 Comdty,10/2014,99.9,CLV4 Comdty,10/2014,96.19,CLV4 Comdty,10/2014,95.47,CLV4 Comdty,10/2014,98.57
8M,CLX4 Comdty,11/2014,90.73,CLX4 Comdty,11/2014,92.1,CLX4 Comdty,11/2014,96.31,CLX4 Comdty,11/2014,103.01,CLX4 Comdty,11/2014,98.92,CLX4 Comdty,11/2014,95.39,CLX4 Comdty,11/2014,94.64,CLX4 Comdty,11/2014,97.54
9M,CLZ4 Comdty,12/2014,89.74,CLZ4 Comdty,12/2014,91.74,CLZ4 Comdty,12/2014,95.79,CLZ4 Comdty,12/2014,102.25,CLZ4 Comdty,12/2014,98,CLZ4 Comdty,12/2014,94.66,CLZ4 Comdty,12/2014,93.87,CLZ4 Comdty,12/2014,96.56
10M,CLF5 Comdty,1/2015,89.11,CLF5 Comdty,1/2015,91.62,CLF5 Comdty,1/2015,95.36,CLF5 Comdty,1/2015,101.51,CLF5 Comdty,1/2015,97.08,CLF5 Comdty,1/2015,93.9,CLF5 Comdty,1/2015,93.02,CLF5 Comdty,1/2015,95.47
11M,CLG5 Comdty,2/2015,88.66,CLG5 Comdty,2/2015,91.56,CLG5 Comdty,2/2015,94.92,CLG5 Comdty,2/2015,100.78,CLG5 Comdty,2/2015,96.22,CLG5 Comdty,2/2015,93.16,CLG5 Comdty,2/2015,92.22,CLG5 Comdty,2/2015,94.41
