Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 6/3/2013 USD/barrel",,,"Crude Oil, WTI (NYM) 5/1/2013 USD/barrel",,,"Crude Oil, WTI (NYM) 4/1/2013 USD/barrel",,,"Crude Oil, WTI (NYM) 3/1/2013 USD/barrel",,,"Crude Oil, WTI (NYM) 2/1/2013 USD/barrel",,,"Crude Oil, WTI (NYM) 1/2/2013 USD/barrel",,,"Crude Oil, WTI (NYM) 12/3/2012 USD/barrel",,,"Crude Oil, WTI (NYM) 11/1/2012 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLZ12 Comdty,12/2012,87.09
2M,,,,,,,,,,,,,,,,,,,CLF13 Comdty,1/2013,89.09,CLF13 Comdty,1/2013,87.57
3M,,,,,,,,,,,,,,,,CLG13 Comdty,2/2013,93.12,CLG13 Comdty,2/2013,89.69,CLG13 Comdty,2/2013,88.1
4M,,,,,,,,,,,,,CLH13 Comdty,3/2013,97.77,CLH13 Comdty,3/2013,93.55,CLH13 Comdty,3/2013,90.34,CLH13 Comdty,3/2013,88.65
5M,,,,,,,,,,CLJ13 Comdty,4/2013,90.68,CLJ13 Comdty,4/2013,98.24,CLJ13 Comdty,4/2013,93.97,CLJ13 Comdty,4/2013,90.92,CLJ13 Comdty,4/2013,89.14
6M,,,,,,,CLK13 Comdty,5/2013,97.07,CLK13 Comdty,5/2013,91.14,CLK13 Comdty,5/2013,98.66,CLK13 Comdty,5/2013,94.33,CLK13 Comdty,5/2013,91.38,CLK13 Comdty,5/2013,89.56
7M,,,,CLM13 Comdty,6/2013,91.03,CLM13 Comdty,6/2013,97.38,CLM13 Comdty,6/2013,91.55,CLM13 Comdty,6/2013,99.02,CLM13 Comdty,6/2013,94.6,CLM13 Comdty,6/2013,91.72,CLM13 Comdty,6/2013,89.88
8M,CLN13 Comdty,7/2013,93.45,CLN13 Comdty,7/2013,91.24,CLN13 Comdty,7/2013,97.6,CLN13 Comdty,7/2013,91.86,CLN13 Comdty,7/2013,99.26,CLN13 Comdty,7/2013,94.76,CLN13 Comdty,7/2013,91.94,CLN13 Comdty,7/2013,90.11
9M,CLQ13 Comdty,8/2013,93.67,CLQ13 Comdty,8/2013,91.21,CLQ13 Comdty,8/2013,97.61,CLQ13 Comdty,8/2013,92.01,CLQ13 Comdty,8/2013,99.28,CLQ13 Comdty,8/2013,94.78,CLQ13 Comdty,8/2013,92.06,CLQ13 Comdty,8/2013,90.23
