Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 6/1/2009 USD/barrel",,,"Crude Oil, WTI (NYM) 5/1/2009 USD/barrel",,,"Crude Oil, WTI (NYM) 4/1/2009 USD/barrel",,,"Crude Oil, WTI (NYM) 3/2/2009 USD/barrel",,,"Crude Oil, WTI (NYM) 2/2/2009 USD/barrel",,,"Crude Oil, WTI (NYM) 1/2/2009 USD/barrel",,,"Crude Oil, WTI (NYM) 12/1/2008 USD/barrel",,,"Crude Oil, WTI (NYM) 11/3/2008 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLZ08 Comdty,12/2008,63.91
2M,,,,,,,,,,,,,,,,,,,CLF09 Comdty,1/2009,49.28,CLF09 Comdty,1/2009,64.59
3M,,,,,,,,,,,,,,,,CLG09 Comdty,2/2009,46.34,CLG09 Comdty,2/2009,50.68,CLG09 Comdty,2/2009,65.3
4M,,,,,,,,,,,,,CLH09 Comdty,3/2009,40.08,CLH09 Comdty,3/2009,50.21,CLH09 Comdty,3/2009,52,CLH09 Comdty,3/2009,66.02
5M,,,,,,,,,,CLJ09 Comdty,4/2009,40.15,CLJ09 Comdty,4/2009,43.92,CLJ09 Comdty,4/2009,52.23,CLJ09 Comdty,4/2009,53.22,CLJ09 Comdty,4/2009,66.73
6M,,,,,,,CLK09 Comdty,5/2009,48.39,CLK09 Comdty,5/2009,42.45,CLK09 Comdty,5/2009,46.17,CLK09 Comdty,5/2009,53.64,CLK09 Comdty,5/2009,54.4,CLK09 Comdty,5/2009,67.43
7M,,,,CLM09 Comdty,6/2009,53.2,CLM09 Comdty,6/2009,50.2,CLM09 Comdty,6/2009,43.68,CLM09 Comdty,6/2009,47.62,CLM09 Comdty,6/2009,54.73,CLM09 Comdty,6/2009,55.51,CLM09 Comdty,6/2009,68.11
8M,CLN09 Comdty,7/2009,68.58,CLN09 Comdty,7/2009,54.54,CLN09 Comdty,7/2009,51.77,CLN09 Comdty,7/2009,44.73,CLN09 Comdty,7/2009,48.82,CLN09 Comdty,7/2009,55.8,CLN09 Comdty,7/2009,56.54,CLN09 Comdty,7/2009,68.75
9M,CLQ09 Comdty,8/2009,69.37,CLQ09 Comdty,8/2009,55.73,CLQ09 Comdty,8/2009,52.84,CLQ09 Comdty,8/2009,45.65,CLQ09 Comdty,8/2009,49.78,CLQ09 Comdty,8/2009,56.78,CLQ09 Comdty,8/2009,57.52,CLQ09 Comdty,8/2009,69.39
10M,CLU09 Comdty,9/2009,70.07,CLU09 Comdty,9/2009,56.78,CLU09 Comdty,9/2009,53.79,CLU09 Comdty,9/2009,46.49,CLU09 Comdty,9/2009,50.64,CLU09 Comdty,9/2009,57.74,CLU09 Comdty,9/2009,58.46,CLU09 Comdty,9/2009,70.03
11M,CLV09 Comdty,10/2009,70.58,CLV09 Comdty,10/2009,57.73,CLV09 Comdty,10/2009,54.74,CLV09 Comdty,10/2009,47.23,CLV09 Comdty,10/2009,51.38,CLV09 Comdty,10/2009,58.6,CLV09 Comdty,10/2009,59.38,CLV09 Comdty,10/2009,70.66
1Y,CLX09 Comdty,11/2009,71.04,CLX09 Comdty,11/2009,58.68,CLX09 Comdty,11/2009,55.65,CLX09 Comdty,11/2009,47.89,CLX09 Comdty,11/2009,52.08,CLX09 Comdty,11/2009,59.45,CLX09 Comdty,11/2009,60.28,CLX09 Comdty,11/2009,71.28
13M,CLZ09 Comdty,12/2009,71.52,CLZ09 Comdty,12/2009,59.56,CLZ09 Comdty,12/2009,56.54,CLZ09 Comdty,12/2009,48.53,CLZ09 Comdty,12/2009,52.77,CLZ09 Comdty,12/2009,60.29,CLZ09 Comdty,12/2009,61.15,CLZ09 Comdty,12/2009,71.9
14M,CLF10 Comdty,1/2010,71.92,CLF10 Comdty,1/2010,60.35,CLF10 Comdty,1/2010,57.33,CLF10 Comdty,1/2010,49.12,CLF10 Comdty,1/2010,53.34,CLF10 Comdty,1/2010,61.05,CLF10 Comdty,1/2010,61.96,CLF10 Comdty,1/2010,72.47
15M,CLG10 Comdty,2/2010,72.22,CLG10 Comdty,2/2010,61.11,CLG10 Comdty,2/2010,58.06,CLG10 Comdty,2/2010,49.7,CLG10 Comdty,2/2010,53.88,CLG10 Comdty,2/2010,61.76,CLG10 Comdty,2/2010,62.78,CLG10 Comdty,2/2010,73.04
16M,CLH10 Comdty,3/2010,72.48,CLH10 Comdty,3/2010,61.85,CLH10 Comdty,3/2010,58.76,CLH10 Comdty,3/2010,50.26,CLH10 Comdty,3/2010,54.38,CLH10 Comdty,3/2010,62.44,CLH10 Comdty,3/2010,63.59,CLH10 Comdty,3/2010,73.6
17M,CLJ10 Comdty,4/2010,72.74,CLJ10 Comdty,4/2010,62.57,CLJ10 Comdty,4/2010,59.41,CLJ10 Comdty,4/2010,50.79,CLJ10 Comdty,4/2010,54.86,CLJ10 Comdty,4/2010,63.1,CLJ10 Comdty,4/2010,64.35,CLJ10 Comdty,4/2010,74.16
18M,CLK10 Comdty,5/2010,72.99,CLK10 Comdty,5/2010,63.25,CLK10 Comdty,5/2010,60.02,CLK10 Comdty,5/2010,51.3,CLK10 Comdty,5/2010,55.32,CLK10 Comdty,5/2010,63.76,CLK10 Comdty,5/2010,65.07,CLK10 Comdty,5/2010,74.67
