Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 2/1/2010 USD/barrel",,,"Crude Oil, WTI (NYM) 1/4/2010 USD/barrel",,,"Crude Oil, WTI (NYM) 12/1/2009 USD/barrel",,,"Crude Oil, WTI (NYM) 11/2/2009 USD/barrel",,,"Crude Oil, WTI (NYM) 10/1/2009 USD/barrel",,,"Crude Oil, WTI (NYM) 9/1/2009 USD/barrel",,,"Crude Oil, WTI (NYM) 8/3/2009 USD/barrel",,,"Crude Oil, WTI (NYM) 7/1/2009 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLQ09 Comdty,8/2009,69.31
2M,,,,,,,,,,,,,,,,,,,CLU09 Comdty,9/2009,71.58,CLU09 Comdty,9/2009,70.27
3M,,,,,,,,,,,,,,,,CLV09 Comdty,10/2009,68.05,CLV09 Comdty,10/2009,73.18,CLV09 Comdty,10/2009,71.08
4M,,,,,,,,,,,,,CLX09 Comdty,11/2009,70.82,CLX09 Comdty,11/2009,68.72,CLX09 Comdty,11/2009,74.27,CLX09 Comdty,11/2009,71.78
5M,,,,,,,,,,CLZ09 Comdty,12/2009,78.13,CLZ09 Comdty,12/2009,71.2,CLZ09 Comdty,12/2009,69.45,CLZ09 Comdty,12/2009,75.06,CLZ09 Comdty,12/2009,72.36
6M,,,,,,,CLF10 Comdty,1/2010,78.37,CLF10 Comdty,1/2010,78.82,CLF10 Comdty,1/2010,71.63,CLF10 Comdty,1/2010,70.13,CLF10 Comdty,1/2010,75.81,CLF10 Comdty,1/2010,72.84
7M,,,,CLG10 Comdty,2/2010,81.51,CLG10 Comdty,2/2010,79.77,CLG10 Comdty,2/2010,79.51,CLG10 Comdty,2/2010,72.07,CLG10 Comdty,2/2010,70.76,CLG10 Comdty,2/2010,76.53,CLG10 Comdty,2/2010,73.23
8M,CLH10 Comdty,3/2010,74.43,CLH10 Comdty,3/2010,82.12,CLH10 Comdty,3/2010,80.94,CLH10 Comdty,3/2010,80.12,CLH10 Comdty,3/2010,72.57,CLH10 Comdty,3/2010,71.39,CLH10 Comdty,3/2010,77.16,CLH10 Comdty,3/2010,73.58
9M,CLJ10 Comdty,4/2010,74.91,CLJ10 Comdty,4/2010,82.65,CLJ10 Comdty,4/2010,81.84,CLJ10 Comdty,4/2010,80.66,CLJ10 Comdty,4/2010,73.1,CLJ10 Comdty,4/2010,71.95,CLJ10 Comdty,4/2010,77.73,CLJ10 Comdty,4/2010,73.93
10M,CLK10 Comdty,5/2010,75.52,CLK10 Comdty,5/2010,83.12,CLK10 Comdty,5/2010,82.6,CLK10 Comdty,5/2010,81.17,CLK10 Comdty,5/2010,73.62,CLK10 Comdty,5/2010,72.51,CLK10 Comdty,5/2010,78.26,CLK10 Comdty,5/2010,74.27
11M,CLM10 Comdty,6/2010,76.11,CLM10 Comdty,6/2010,83.56,CLM10 Comdty,6/2010,83.31,CLM10 Comdty,6/2010,81.62,CLM10 Comdty,6/2010,74.11,CLM10 Comdty,6/2010,73.05,CLM10 Comdty,6/2010,78.75,CLM10 Comdty,6/2010,74.6
1Y,CLN10 Comdty,7/2010,76.66,CLN10 Comdty,7/2010,84.02,CLN10 Comdty,7/2010,83.88,CLN10 Comdty,7/2010,81.96,CLN10 Comdty,7/2010,74.5,CLN10 Comdty,7/2010,73.47,CLN10 Comdty,7/2010,79.05,CLN10 Comdty,7/2010,74.93
13M,CLQ10 Comdty,8/2010,77.17,CLQ10 Comdty,8/2010,84.42,CLQ10 Comdty,8/2010,84.35,CLQ10 Comdty,8/2010,82.27,CLQ10 Comdty,8/2010,74.79,CLQ10 Comdty,8/2010,73.79,CLQ10 Comdty,8/2010,79.19,CLQ10 Comdty,8/2010,75.2
14M,CLU10 Comdty,9/2010,77.64,CLU10 Comdty,9/2010,84.81,CLU10 Comdty,9/2010,84.81,CLU10 Comdty,9/2010,82.6,CLU10 Comdty,9/2010,75.09,CLU10 Comdty,9/2010,74.11,CLU10 Comdty,9/2010,79.33,CLU10 Comdty,9/2010,75.47
15M,CLV10 Comdty,10/2010,78.1,CLV10 Comdty,10/2010,85.2,CLV10 Comdty,10/2010,85.28,CLV10 Comdty,10/2010,82.96,CLV10 Comdty,10/2010,75.4,CLV10 Comdty,10/2010,74.42,CLV10 Comdty,10/2010,79.47,CLV10 Comdty,10/2010,75.75
