Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
16M,CLX10 Comdty,11/2010,78.58,CLX10 Comdty,11/2010,85.59,CLX10 Comdty,11/2010,85.79,CLX10 Comdty,11/2010,83.35,CLX10 Comdty,11/2010,75.73,CLX10 Comdty,11/2010,74.74,CLX10 Comdty,11/2010,79.66,CLX10 Comdty,11/2010,76.06
17M,CLZ10 Comdty,12/2010,79.07,CLZ10 Comdty,12/2010,86.01,CLZ10 Comdty,12/2010,86.31,CLZ10 Comdty,12/2010,83.74,CLZ10 Comdty,12/2010,76.06,CLZ10 Comdty,12/2010,75.07,CLZ10 Comdty,12/2010,79.87,CLZ10 Comdty,12/2010,76.4
18M,CLF11 Comdty,1/2011,79.44,CLF11 Comdty,1/2011,86.3,CLF11 Comdty,1/2011,86.65,CLF11 Comdty,1/2011,83.96,CLF11 Comdty,1/2011,76.26,CLF11 Comdty,1/2011,75.24,CLF11 Comdty,1/2011,80,CLF11 Comdty,1/2011,76.65
19M,CLG11 Comdty,2/2011,79.79,CLG11 Comdty,2/2011,86.55,CLG11 Comdty,2/2011,86.95,CLG11 Comdty,2/2011,84.18,CLG11 Comdty,2/2011,76.45,CLG11 Comdty,2/2011,75.4,CLG11 Comdty,2/2011,80.13,CLG11 Comdty,2/2011,76.9
20M,CLH11 Comdty,3/2011,80.12,CLH11 Comdty,3/2011,86.83,CLH11 Comdty,3/2011,87.26,CLH11 Comdty,3/2011,84.4,CLH11 Comdty,3/2011,76.63,CLH11 Comdty,3/2011,75.57,CLH11 Comdty,3/2011,80.26,CLH11 Comdty,3/2011,77.12
21M,CLJ11 Comdty,4/2011,80.43,CLJ11 Comdty,4/2011,87.1,CLJ11 Comdty,4/2011,87.57,CLJ11 Comdty,4/2011,84.62,CLJ11 Comdty,4/2011,76.82,CLJ11 Comdty,4/2011,75.74,CLJ11 Comdty,4/2011,80.39,CLJ11 Comdty,4/2011,77.33
22M,CLK11 Comdty,5/2011,80.69,CLK11 Comdty,5/2011,87.32,CLK11 Comdty,5/2011,87.81,CLK11 Comdty,5/2011,84.83,CLK11 Comdty,5/2011,77.01,CLK11 Comdty,5/2011,75.91,CLK11 Comdty,5/2011,80.52,CLK11 Comdty,5/2011,77.54
23M,CLM11 Comdty,6/2011,80.93,CLM11 Comdty,6/2011,87.52,CLM11 Comdty,6/2011,88.03,CLM11 Comdty,6/2011,85.04,CLM11 Comdty,6/2011,77.2,CLM11 Comdty,6/2011,76.08,CLM11 Comdty,6/2011,80.65,CLM11 Comdty,6/2011,77.75
2Y,CLN11 Comdty,7/2011,81.16,CLN11 Comdty,7/2011,87.71,CLN11 Comdty,7/2011,88.24,CLN11 Comdty,7/2011,85.24,CLN11 Comdty,7/2011,77.35,CLN11 Comdty,7/2011,76.25,CLN11 Comdty,7/2011,80.78,CLN11 Comdty,7/2011,77.96
25M,CLQ11 Comdty,8/2011,81.37,CLQ11 Comdty,8/2011,87.89,CLQ11 Comdty,8/2011,88.45,CLQ11 Comdty,8/2011,85.42,CLQ11 Comdty,8/2011,77.51,CLQ11 Comdty,8/2011,76.41,CLQ11 Comdty,8/2011,80.91,CLQ11 Comdty,8/2011,78.16
26M,CLU11 Comdty,9/2011,81.59,CLU11 Comdty,9/2011,88.07,CLU11 Comdty,9/2011,88.66,CLU11 Comdty,9/2011,85.6,CLU11 Comdty,9/2011,77.67,CLU11 Comdty,9/2011,76.57,CLU11 Comdty,9/2011,81.04,CLU11 Comdty,9/2011,78.35
27M,CLV11 Comdty,10/2011,81.83,CLV11 Comdty,10/2011,88.25,CLV11 Comdty,10/2011,88.87,CLV11 Comdty,10/2011,85.79,CLV11 Comdty,10/2011,77.84,CLV11 Comdty,10/2011,76.73,CLV11 Comdty,10/2011,81.16,CLV11 Comdty,10/2011,78.54
28M,CLX11 Comdty,11/2011,82.09,CLX11 Comdty,11/2011,88.46,CLX11 Comdty,11/2011,89.08,CLX11 Comdty,11/2011,85.98,CLX11 Comdty,11/2011,78.01,CLX11 Comdty,11/2011,76.88,CLX11 Comdty,11/2011,81.28,CLX11 Comdty,11/2011,78.72
29M,CLZ11 Comdty,12/2011,82.36,CLZ11 Comdty,12/2011,88.68,CLZ11 Comdty,12/2011,89.3,CLZ11 Comdty,12/2011,86.17,CLZ11 Comdty,12/2011,78.18,CLZ11 Comdty,12/2011,77.03,CLZ11 Comdty,12/2011,81.4,CLZ11 Comdty,12/2011,78.9
30M,CLF12 Comdty,1/2012,82.5,CLF12 Comdty,1/2012,88.78,CLF12 Comdty,1/2012,89.44,CLF12 Comdty,1/2012,86.31,CLF12 Comdty,1/2012,78.34,CLF12 Comdty,1/2012,77.19,CLF12 Comdty,1/2012,81.55,CLF12 Comdty,1/2012,79.09
31M,CLG12 Comdty,2/2012,82.64,CLG12 Comdty,2/2012,88.88,CLG12 Comdty,2/2012,89.58,CLG12 Comdty,2/2012,86.45,CLG12 Comdty,2/2012,78.5,CLG12 Comdty,2/2012,77.35,CLG12 Comdty,2/2012,81.7,CLG12 Comdty,2/2012,79.27
32M,CLH12 Comdty,3/2012,82.8,CLH12 Comdty,3/2012,88.99,CLH12 Comdty,3/2012,89.72,CLH12 Comdty,3/2012,86.59,CLH12 Comdty,3/2012,78.66,CLH12 Comdty,3/2012,77.51,CLH12 Comdty,3/2012,81.85,CLH12 Comdty,3/2012,79.43
33M,CLJ12 Comdty,4/2012,82.96,CLJ12 Comdty,4/2012,89.12,CLJ12 Comdty,4/2012,89.86,CLJ12 Comdty,4/2012,86.73,CLJ12 Comdty,4/2012,78.81,CLJ12 Comdty,4/2012,77.67,CLJ12 Comdty,4/2012,81.99,CLJ12 Comdty,4/2012,79.58
34M,CLK12 Comdty,5/2012,83.12,CLK12 Comdty,5/2012,89.25,CLK12 Comdty,5/2012,90,CLK12 Comdty,5/2012,86.87,CLK12 Comdty,5/2012,78.96,CLK12 Comdty,5/2012,77.82,CLK12 Comdty,5/2012,82.13,CLK12 Comdty,5/2012,79.72
35M,CLM12 Comdty,6/2012,83.28,CLM12 Comdty,6/2012,89.39,CLM12 Comdty,6/2012,90.14,CLM12 Comdty,6/2012,87.01,CLM12 Comdty,6/2012,79.11,CLM12 Comdty,6/2012,77.97,CLM12 Comdty,6/2012,82.27,CLM12 Comdty,6/2012,79.86
3Y,CLN12 Comdty,7/2012,83.44,CLN12 Comdty,7/2012,89.53,CLN12 Comdty,7/2012,90.28,CLN12 Comdty,7/2012,87.15,CLN12 Comdty,7/2012,79.26,CLN12 Comdty,7/2012,78.12,CLN12 Comdty,7/2012,82.41,CLN12 Comdty,7/2012,79.99
37M,CLQ12 Comdty,8/2012,83.61,CLQ12 Comdty,8/2012,89.66,CLQ12 Comdty,8/2012,90.41,CLQ12 Comdty,8/2012,87.29,CLQ12 Comdty,8/2012,79.41,CLQ12 Comdty,8/2012,78.27,CLQ12 Comdty,8/2012,82.54,CLQ12 Comdty,8/2012,80.12
38M,CLU12 Comdty,9/2012,83.78,CLU12 Comdty,9/2012,89.79,CLU12 Comdty,9/2012,90.54,CLU12 Comdty,9/2012,87.43,CLU12 Comdty,9/2012,79.56,CLU12 Comdty,9/2012,78.43,CLU12 Comdty,9/2012,82.67,CLU12 Comdty,9/2012,80.24
39M,CLV12 Comdty,10/2012,83.95,CLV12 Comdty,10/2012,89.92,CLV12 Comdty,10/2012,90.67,CLV12 Comdty,10/2012,87.57,CLV12 Comdty,10/2012,79.7,CLV12 Comdty,10/2012,78.59,CLV12 Comdty,10/2012,82.8,CLV12 Comdty,10/2012,80.36
40M,CLX12 Comdty,11/2012,84.12,CLX12 Comdty,11/2012,90.05,CLX12 Comdty,11/2012,90.8,CLX12 Comdty,11/2012,87.71,CLX12 Comdty,11/2012,79.85,CLX12 Comdty,11/2012,78.75,CLX12 Comdty,11/2012,82.93,CLX12 Comdty,11/2012,80.48
41M,CLZ12 Comdty,12/2012,84.29,CLZ12 Comdty,12/2012,90.18,CLZ12 Comdty,12/2012,90.93,CLZ12 Comdty,12/2012,87.85,CLZ12 Comdty,12/2012,80,CLZ12 Comdty,12/2012,78.91,CLZ12 Comdty,12/2012,83.06,CLZ12 Comdty,12/2012,80.6
42M,CLF13 Comdty,1/2013,84.4,CLF13 Comdty,1/2013,90.29,CLF13 Comdty,1/2013,91.06,CLF13 Comdty,1/2013,87.99,CLF13 Comdty,1/2013,80.16,CLF13 Comdty,1/2013,79.06,CLF13 Comdty,1/2013,83.21,CLF13 Comdty,1/2013,80.74
43M,CLG13 Comdty,2/2013,84.51,CLG13 Comdty,2/2013,90.4,CLG13 Comdty,2/2013,91.19,CLG13 Comdty,2/2013,88.13,CLG13 Comdty,2/2013,80.32,CLG13 Comdty,2/2013,79.21,CLG13 Comdty,2/2013,83.37,CLG13 Comdty,2/2013,80.88
44M,CLH13 Comdty,3/2013,84.64,CLH13 Comdty,3/2013,90.51,CLH13 Comdty,3/2013,91.32,CLH13 Comdty,3/2013,88.27,CLH13 Comdty,3/2013,80.48,CLH13 Comdty,3/2013,79.36,CLH13 Comdty,3/2013,83.53,CLH13 Comdty,3/2013,81.02
45M,CLJ13 Comdty,4/2013,84.77,CLJ13 Comdty,4/2013,90.62,CLJ13 Comdty,4/2013,91.46,CLJ13 Comdty,4/2013,88.41,CLJ13 Comdty,4/2013,80.63,CLJ13 Comdty,4/2013,79.51,CLJ13 Comdty,4/2013,83.69,CLJ13 Comdty,4/2013,81.16
46M,CLK13 Comdty,5/2013,84.91,CLK13 Comdty,5/2013,90.74,CLK13 Comdty,5/2013,91.6,CLK13 Comdty,5/2013,88.55,CLK13 Comdty,5/2013,80.78,CLK13 Comdty,5/2013,79.66,CLK13 Comdty,5/2013,83.85,CLK13 Comdty,5/2013,81.3
47M,CLM13 Comdty,6/2013,85.05,CLM13 Comdty,6/2013,90.86,CLM13 Comdty,6/2013,91.74,CLM13 Comdty,6/2013,88.69,CLM13 Comdty,6/2013,80.93,CLM13 Comdty,6/2013,79.81,CLM13 Comdty,6/2013,84.01,CLM13 Comdty,6/2013,81.45
4Y,CLN13 Comdty,7/2013,85.19,CLN13 Comdty,7/2013,90.98,CLN13 Comdty,7/2013,91.88,CLN13 Comdty,7/2013,88.83,CLN13 Comdty,7/2013,81.08,CLN13 Comdty,7/2013,79.96,CLN13 Comdty,7/2013,84.17,CLN13 Comdty,7/2013,81.6
49M,CLQ13 Comdty,8/2013,85.33,CLQ13 Comdty,8/2013,91.1,CLQ13 Comdty,8/2013,92.03,CLQ13 Comdty,8/2013,88.97,CLQ13 Comdty,8/2013,81.23,CLQ13 Comdty,8/2013,80.11,CLQ13 Comdty,8/2013,84.33,CLQ13 Comdty,8/2013,81.75
50M,CLU13 Comdty,9/2013,85.48,CLU13 Comdty,9/2013,91.22,CLU13 Comdty,9/2013,92.18,CLU13 Comdty,9/2013,89.12,CLU13 Comdty,9/2013,81.38,CLU13 Comdty,9/2013,80.27,CLU13 Comdty,9/2013,84.49,CLU13 Comdty,9/2013,81.9
51M,CLV13 Comdty,10/2013,85.63,CLV13 Comdty,10/2013,91.35,CLV13 Comdty,10/2013,92.33,CLV13 Comdty,10/2013,89.26,CLV13 Comdty,10/2013,81.53,CLV13 Comdty,10/2013,80.43,CLV13 Comdty,10/2013,84.65,CLV13 Comdty,10/2013,82.05
52M,CLX13 Comdty,11/2013,85.78,CLX13 Comdty,11/2013,91.52,CLX13 Comdty,11/2013,92.48,CLX13 Comdty,11/2013,89.41,CLX13 Comdty,11/2013,81.69,CLX13 Comdty,11/2013,80.59,CLX13 Comdty,11/2013,84.81,CLX13 Comdty,11/2013,82.2
53M,CLZ13 Comdty,12/2013,85.93,CLZ13 Comdty,12/2013,91.69,CLZ13 Comdty,12/2013,92.63,CLZ13 Comdty,12/2013,89.56,CLZ13 Comdty,12/2013,81.85,CLZ13 Comdty,12/2013,80.75,CLZ13 Comdty,12/2013,84.98,CLZ13 Comdty,12/2013,82.36
54M,CLF14 Comdty,1/2014,86.08,CLF14 Comdty,1/2014,91.86,CLF14 Comdty,1/2014,92.79,CLF14 Comdty,1/2014,89.71,CLF14 Comdty,1/2014,82.02,CLF14 Comdty,1/2014,80.92,CLF14 Comdty,1/2014,85.16,CLF14 Comdty,1/2014,82.53
55M,CLG14 Comdty,2/2014,86.23,CLG14 Comdty,2/2014,92.02,CLG14 Comdty,2/2014,92.95,CLG14 Comdty,2/2014,89.86,CLG14 Comdty,2/2014,82.19,CLG14 Comdty,2/2014,81.09,CLG14 Comdty,2/2014,85.34,CLG14 Comdty,2/2014,82.7
56M,CLH14 Comdty,3/2014,86.38,CLH14 Comdty,3/2014,92.18,CLH14 Comdty,3/2014,93.11,CLH14 Comdty,3/2014,90.02,CLH14 Comdty,3/2014,82.36,CLH14 Comdty,3/2014,81.26,CLH14 Comdty,3/2014,85.52,CLH14 Comdty,3/2014,82.87
57M,CLJ14 Comdty,4/2014,86.53,CLJ14 Comdty,4/2014,92.34,CLJ14 Comdty,4/2014,93.28,CLJ14 Comdty,4/2014,90.18,CLJ14 Comdty,4/2014,82.53,CLJ14 Comdty,4/2014,81.43,CLJ14 Comdty,4/2014,85.7,CLJ14 Comdty,4/2014,83.04
58M,CLK14 Comdty,5/2014,86.68,CLK14 Comdty,5/2014,92.5,CLK14 Comdty,5/2014,93.45,CLK14 Comdty,5/2014,90.34,CLK14 Comdty,5/2014,82.7,CLK14 Comdty,5/2014,81.6,CLK14 Comdty,5/2014,85.88,CLK14 Comdty,5/2014,83.21
59M,CLM14 Comdty,6/2014,86.84,CLM14 Comdty,6/2014,92.66,CLM14 Comdty,6/2014,93.62,CLM14 Comdty,6/2014,90.5,CLM14 Comdty,6/2014,82.87,CLM14 Comdty,6/2014,81.77,CLM14 Comdty,6/2014,86.06,CLM14 Comdty,6/2014,83.38
5Y,CLN14 Comdty,7/2014,87,CLN14 Comdty,7/2014,92.81,CLN14 Comdty,7/2014,93.79,CLN14 Comdty,7/2014,90.66,CLN14 Comdty,7/2014,83.04,CLN14 Comdty,7/2014,81.95,CLN14 Comdty,7/2014,86.24,CLN14 Comdty,7/2014,83.55
61M,CLQ4 Comdty,8/2014,87.16,CLQ4 Comdty,8/2014,92.96,CLQ4 Comdty,8/2014,93.96,CLQ4 Comdty,8/2014,90.82,CLQ4 Comdty,8/2014,83.21,CLQ4 Comdty,8/2014,82.13,CLQ4 Comdty,8/2014,86.42,CLQ4 Comdty,8/2014,83.72
62M,CLU4 Comdty,9/2014,87.32,CLU4 Comdty,9/2014,93.11,CLU4 Comdty,9/2014,94.13,CLU4 Comdty,9/2014,90.98,CLU4 Comdty,9/2014,83.38,CLU4 Comdty,9/2014,82.31,CLU4 Comdty,9/2014,86.6,CLU4 Comdty,9/2014,83.89
63M,CLV4 Comdty,10/2014,87.48,CLV4 Comdty,10/2014,93.27,CLV4 Comdty,10/2014,94.3,CLV4 Comdty,10/2014,91.14,CLV4 Comdty,10/2014,83.55,CLV4 Comdty,10/2014,82.49,CLV4 Comdty,10/2014,86.78,CLV4 Comdty,10/2014,84.06
64M,CLX4 Comdty,11/2014,87.64,CLX4 Comdty,11/2014,93.43,CLX4 Comdty,11/2014,94.47,CLX4 Comdty,11/2014,91.3,CLX4 Comdty,11/2014,83.72,CLX4 Comdty,11/2014,82.67,CLX4 Comdty,11/2014,86.96,CLX4 Comdty,11/2014,84.23
65M,CLZ4 Comdty,12/2014,87.8,CLZ4 Comdty,12/2014,93.59,CLZ4 Comdty,12/2014,94.64,CLZ4 Comdty,12/2014,91.46,CLZ4 Comdty,12/2014,83.89,CLZ4 Comdty,12/2014,82.86,CLZ4 Comdty,12/2014,87.13,CLZ4 Comdty,12/2014,84.41
66M,CLF5 Comdty,1/2015,87.96,CLF5 Comdty,1/2015,93.75,CLF5 Comdty,1/2015,94.82,,,,,,,,,,,,,,,
67M,CLG5 Comdty,2/2015,88.12,CLG5 Comdty,2/2015,93.91,CLG5 Comdty,2/2015,95,,,,,,,,,,,,,,,
68M,CLH5 Comdty,3/2015,88.28,CLH5 Comdty,3/2015,94.07,CLH5 Comdty,3/2015,95.18,,,,,,,,,,,,,,,
69M,CLJ5 Comdty,4/2015,88.45,CLJ5 Comdty,4/2015,94.23,CLJ5 Comdty,4/2015,95.36,,,,,,,,,,,,,,,
70M,CLK5 Comdty,5/2015,88.62,CLK5 Comdty,5/2015,94.4,CLK5 Comdty,5/2015,95.54,,,,,,,,,,,,,,,
71M,CLM5 Comdty,6/2015,88.79,CLM5 Comdty,6/2015,94.57,CLM5 Comdty,6/2015,95.72,CLM5 Comdty,6/2015,92.46,CLM5 Comdty,6/2015,84.99,CLM5 Comdty,6/2015,83.98,CLM5 Comdty,6/2015,88.27,CLM5 Comdty,6/2015,85.45
6Y,CLN5 Comdty,7/2015,88.96,CLN5 Comdty,7/2015,94.74,CLN5 Comdty,7/2015,95.9,,,,,,,,,,,,,,,
73M,CLQ5 Comdty,8/2015,89.13,CLQ5 Comdty,8/2015,94.91,CLQ5 Comdty,8/2015,96.08,,,,,,,,,,,,,,,
74M,CLU5 Comdty,9/2015,89.3,CLU5 Comdty,9/2015,95.08,CLU5 Comdty,9/2015,96.26,,,,,,,,,,,,,,,
75M,CLV5 Comdty,10/2015,89.47,CLV5 Comdty,10/2015,95.25,CLV5 Comdty,10/2015,96.44,,,,,,,,,,,,,,,
76M,CLX5 Comdty,11/2015,89.65,CLX5 Comdty,11/2015,95.42,CLX5 Comdty,11/2015,96.62,,,,,,,,,,,,,,,
77M,CLZ5 Comdty,12/2015,89.83,CLZ5 Comdty,12/2015,95.59,CLZ5 Comdty,12/2015,96.8,CLZ5 Comdty,12/2015,93.46,CLZ5 Comdty,12/2015,86.09,CLZ5 Comdty,12/2015,85.11,CLZ5 Comdty,12/2015,89.41,CLZ5 Comdty,12/2015,86.49
83M,CLM6 Comdty,6/2016,90.98,CLM6 Comdty,6/2016,96.71,CLM6 Comdty,6/2016,97.97,CLM6 Comdty,6/2016,94.57,CLM6 Comdty,6/2016,87.24,CLM6 Comdty,6/2016,86.38,CLM6 Comdty,6/2016,90.61,CLM6 Comdty,6/2016,87.54
89M,CLZ6 Comdty,12/2016,92.13,CLZ6 Comdty,12/2016,97.84,CLZ6 Comdty,12/2016,99.15,CLZ6 Comdty,12/2016,95.68,CLZ6 Comdty,12/2016,88.39,CLZ6 Comdty,12/2016,87.66,CLZ6 Comdty,12/2016,91.81,CLZ6 Comdty,12/2016,88.59
95M,CLM7 Comdty,6/2017,93.38,CLM7 Comdty,6/2017,99.13,CLM7 Comdty,6/2017,100.35,CLM7 Comdty,6/2017,96.85,CLM7 Comdty,6/2017,89.6,CLM7 Comdty,6/2017,88.98,CLM7 Comdty,6/2017,93.01,CLM7 Comdty,6/2017,89.62
101M,CLZ7 Comdty,12/2017,94.63,CLZ7 Comdty,12/2017,100.42,CLZ7 Comdty,12/2017,101.56,CLZ7 Comdty,12/2017,98.01,CLZ7 Comdty,12/2017,90.81,CLZ7 Comdty,12/2017,90.31,CLZ7 Comdty,12/2017,94.21,CLZ7 Comdty,12/2017,90.64
107M,CLM8 Comdty,6/2018,95.96,CLM8 Comdty,6/2018,101.77,CLM8 Comdty,6/2018,102.81,,,,,,,,,,,,,,,
113M,CLZ8 Comdty,12/2018,97.3,CLZ8 Comdty,12/2018,103.12,CLZ8 Comdty,12/2018,104.07,,,,,,,,,,,,,,,
