Period,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price,Ticker,Period,Last Price
,"Crude Oil, WTI (NYM) 6/1/2015 USD/barrel",,,"Crude Oil, WTI (NYM) 5/1/2015 USD/barrel",,,"Crude Oil, WTI (NYM) 4/1/2015 USD/barrel",,,"Crude Oil, WTI (NYM) 3/2/2015 USD/barrel",,,"Crude Oil, WTI (NYM) 2/2/2015 USD/barrel",,,"Crude Oil, WTI (NYM) 1/2/2015 USD/barrel",,,"Crude Oil, WTI (NYM) 12/1/2014 USD/barrel",,,"Crude Oil, WTI (NYM) 11/3/2014 USD/barrel",,
1M,,,,,,,,,,,,,,,,,,,,,,CLZ4 Comdty,12/2014,78.78
2M,,,,,,,,,,,,,,,,,,,CLF5 Comdty,1/2015,69,CLF5 Comdty,1/2015,78.84
3M,,,,,,,,,,,,,,,,CLG5 Comdty,2/2015,52.69,CLG5 Comdty,2/2015,69.1,CLG5 Comdty,2/2015,78.84
4M,,,,,,,,,,,,,CLH5 Comdty,3/2015,49.57,CLH5 Comdty,3/2015,53.11,CLH5 Comdty,3/2015,69.21,CLH5 Comdty,3/2015,78.85
5M,,,,,,,,,,CLJ5 Comdty,4/2015,49.59,CLJ5 Comdty,4/2015,50.45,CLJ5 Comdty,4/2015,53.69,CLJ5 Comdty,4/2015,69.41,CLJ5 Comdty,4/2015,78.85
6M,,,,,,,CLK5 Comdty,5/2015,50.09,CLK5 Comdty,5/2015,51.52,CLK5 Comdty,5/2015,51.55,CLK5 Comdty,5/2015,54.42,CLK5 Comdty,5/2015,69.62,CLK5 Comdty,5/2015,78.86
7M,,,,CLM5 Comdty,6/2015,59.15,CLM5 Comdty,6/2015,51.75,CLM5 Comdty,6/2015,52.98,CLM5 Comdty,6/2015,52.72,CLM5 Comdty,6/2015,55.15,CLM5 Comdty,6/2015,69.79,CLM5 Comdty,6/2015,78.9
8M,CLN5 Comdty,7/2015,60.2,CLN5 Comdty,7/2015,60.36,CLN5 Comdty,7/2015,53.06,CLN5 Comdty,7/2015,54.4,CLN5 Comdty,7/2015,53.89,CLN5 Comdty,7/2015,55.8,CLN5 Comdty,7/2015,69.89,CLN5 Comdty,7/2015,78.91
9M,CLQ5 Comdty,8/2015,60.48,CLQ5 Comdty,8/2015,61.06,CLQ5 Comdty,8/2015,53.98,CLQ5 Comdty,8/2015,55.68,CLQ5 Comdty,8/2015,54.99,CLQ5 Comdty,8/2015,56.42,CLQ5 Comdty,8/2015,69.98,CLQ5 Comdty,8/2015,78.96
10M,CLU5 Comdty,9/2015,60.62,CLU5 Comdty,9/2015,61.58,CLU5 Comdty,9/2015,54.74,CLU5 Comdty,9/2015,56.74,CLU5 Comdty,9/2015,55.94,CLU5 Comdty,9/2015,57.07,CLU5 Comdty,9/2015,70.11,CLU5 Comdty,9/2015,79.07
11M,CLV5 Comdty,10/2015,60.72,CLV5 Comdty,10/2015,62.04,CLV5 Comdty,10/2015,55.44,CLV5 Comdty,10/2015,57.54,CLV5 Comdty,10/2015,56.74,CLV5 Comdty,10/2015,57.71,CLV5 Comdty,10/2015,70.27,CLV5 Comdty,10/2015,79.18
1Y,CLX5 Comdty,11/2015,60.92,CLX5 Comdty,11/2015,62.51,CLX5 Comdty,11/2015,56.11,CLX5 Comdty,11/2015,58.21,CLX5 Comdty,11/2015,57.47,CLX5 Comdty,11/2015,58.38,CLX5 Comdty,11/2015,70.47,CLX5 Comdty,11/2015,79.33
13M,CLZ5 Comdty,12/2015,61.18,CLZ5 Comdty,12/2015,62.94,CLZ5 Comdty,12/2015,56.74,CLZ5 Comdty,12/2015,58.83,CLZ5 Comdty,12/2015,58.16,CLZ5 Comdty,12/2015,59.05,CLZ5 Comdty,12/2015,70.7,CLZ5 Comdty,12/2015,79.48
14M,CLF6 Comdty,1/2016,61.43,CLF6 Comdty,1/2016,63.28,CLF6 Comdty,1/2016,57.28,CLF6 Comdty,1/2016,59.37,CLF6 Comdty,1/2016,58.73,CLF6 Comdty,1/2016,59.58,CLF6 Comdty,1/2016,70.85,CLF6 Comdty,1/2016,79.53
15M,CLG6 Comdty,2/2016,61.63,CLG6 Comdty,2/2016,63.51,CLG6 Comdty,2/2016,57.77,CLG6 Comdty,2/2016,59.89,CLG6 Comdty,2/2016,59.26,CLG6 Comdty,2/2016,60.1,CLG6 Comdty,2/2016,71.03,CLG6 Comdty,2/2016,79.59
16M,CLH6 Comdty,3/2016,61.77,CLH6 Comdty,3/2016,63.67,CLH6 Comdty,3/2016,58.22,CLH6 Comdty,3/2016,60.41,CLH6 Comdty,3/2016,59.77,CLH6 Comdty,3/2016,60.6,CLH6 Comdty,3/2016,71.22,CLH6 Comdty,3/2016,79.66
17M,CLJ6 Comdty,4/2016,61.9,CLJ6 Comdty,4/2016,63.82,CLJ6 Comdty,4/2016,58.63,CLJ6 Comdty,4/2016,60.9,CLJ6 Comdty,4/2016,60.25,CLJ6 Comdty,4/2016,61.11,CLJ6 Comdty,4/2016,71.43,CLJ6 Comdty,4/2016,79.75
18M,CLK6 Comdty,5/2016,62.03,CLK6 Comdty,5/2016,63.96,CLK6 Comdty,5/2016,58.99,CLK6 Comdty,5/2016,61.32,CLK6 Comdty,5/2016,60.69,CLK6 Comdty,5/2016,61.62,CLK6 Comdty,5/2016,71.68,CLK6 Comdty,5/2016,79.86
19M,CLM6 Comdty,6/2016,62.15,CLM6 Comdty,6/2016,64.12,CLM6 Comdty,6/2016,59.31,CLM6 Comdty,6/2016,61.7,CLM6 Comdty,6/2016,61.14,CLM6 Comdty,6/2016,62.13,CLM6 Comdty,6/2016,71.97,CLM6 Comdty,6/2016,80.02
20M,CLN6 Comdty,7/2016,62.21,CLN6 Comdty,7/2016,64.21,CLN6 Comdty,7/2016,59.57,CLN6 Comdty,7/2016,61.98,CLN6 Comdty,7/2016,61.49,CLN6 Comdty,7/2016,62.52,CLN6 Comdty,7/2016,72.14,CLN6 Comdty,7/2016,80.05
21M,CLQ6 Comdty,8/2016,62.29,CLQ6 Comdty,8/2016,64.31,CLQ6 Comdty,8/2016,59.85,CLQ6 Comdty,8/2016,62.24,CLQ6 Comdty,8/2016,61.86,CLQ6 Comdty,8/2016,62.95,CLQ6 Comdty,8/2016,72.37,CLQ6 Comdty,8/2016,80.13
22M,CLU6 Comdty,9/2016,62.39,CLU6 Comdty,9/2016,64.44,CLU6 Comdty,9/2016,60.14,CLU6 Comdty,9/2016,62.47,CLU6 Comdty,9/2016,62.22,CLU6 Comdty,9/2016,63.4,CLU6 Comdty,9/2016,72.63,CLU6 Comdty,9/2016,80.23
23M,CLV6 Comdty,10/2016,62.51,CLV6 Comdty,10/2016,64.58,CLV6 Comdty,10/2016,60.44,CLV6 Comdty,10/2016,62.71,CLV6 Comdty,10/2016,62.58,CLV6 Comdty,10/2016,63.83,CLV6 Comdty,10/2016,72.9,CLV6 Comdty,10/2016,80.35
2Y,CLX6 Comdty,11/2016,62.67,CLX6 Comdty,11/2016,64.75,CLX6 Comdty,11/2016,60.74,CLX6 Comdty,11/2016,62.96,CLX6 Comdty,11/2016,62.96,CLX6 Comdty,11/2016,64.24,CLX6 Comdty,11/2016,73.2,CLX6 Comdty,11/2016,80.48
25M,CLZ6 Comdty,12/2016,62.82,CLZ6 Comdty,12/2016,64.92,CLZ6 Comdty,12/2016,61.05,CLZ6 Comdty,12/2016,63.23,CLZ6 Comdty,12/2016,63.35,CLZ6 Comdty,12/2016,64.63,CLZ6 Comdty,12/2016,73.5,CLZ6 Comdty,12/2016,80.63
26M,CLF7 Comdty,1/2017,62.88,CLF7 Comdty,1/2017,64.95,CLF7 Comdty,1/2017,61.22,CLF7 Comdty,1/2017,63.37,CLF7 Comdty,1/2017,63.58,CLF7 Comdty,1/2017,64.84,CLF7 Comdty,1/2017,73.61,CLF7 Comdty,1/2017,80.57
27M,CLG7 Comdty,2/2017,62.96,CLG7 Comdty,2/2017,64.98,CLG7 Comdty,2/2017,61.4,CLG7 Comdty,2/2017,63.55,CLG7 Comdty,2/2017,63.85,CLG7 Comdty,2/2017,65.08,CLG7 Comdty,2/2017,73.75,CLG7 Comdty,2/2017,80.55
28M,CLH7 Comdty,3/2017,63.07,CLH7 Comdty,3/2017,65.04,CLH7 Comdty,3/2017,61.59,CLH7 Comdty,3/2017,63.75,CLH7 Comdty,3/2017,64.15,CLH7 Comdty,3/2017,65.32,CLH7 Comdty,3/2017,73.93,CLH7 Comdty,3/2017,80.56
29M,CLJ7 Comdty,4/2017,63.2,CLJ7 Comdty,4/2017,65.11,CLJ7 Comdty,4/2017,61.79,CLJ7 Comdty,4/2017,63.99,CLJ7 Comdty,4/2017,64.47,CLJ7 Comdty,4/2017,65.6,CLJ7 Comdty,4/2017,74.15,CLJ7 Comdty,4/2017,80.61
30M,CLK7 Comdty,5/2017,63.35,CLK7 Comdty,5/2017,65.18,CLK7 Comdty,5/2017,62,CLK7 Comdty,5/2017,64.25,CLK7 Comdty,5/2017,64.79,CLK7 Comdty,5/2017,65.88,CLK7 Comdty,5/2017,74.4,CLK7 Comdty,5/2017,80.68
31M,CLM7 Comdty,6/2017,63.52,CLM7 Comdty,6/2017,65.26,CLM7 Comdty,6/2017,62.23,CLM7 Comdty,6/2017,64.52,CLM7 Comdty,6/2017,65.12,CLM7 Comdty,6/2017,66.18,CLM7 Comdty,6/2017,74.69,CLM7 Comdty,6/2017,80.77
32M,CLN7 Comdty,7/2017,63.6,CLN7 Comdty,7/2017,65.26,CLN7 Comdty,7/2017,62.34,CLN7 Comdty,7/2017,64.64,CLN7 Comdty,7/2017,65.3,CLN7 Comdty,7/2017,66.3,CLN7 Comdty,7/2017,74.82,CLN7 Comdty,7/2017,80.69
33M,CLQ7 Comdty,8/2017,63.73,CLQ7 Comdty,8/2017,65.33,CLQ7 Comdty,8/2017,62.51,CLQ7 Comdty,8/2017,64.85,CLQ7 Comdty,8/2017,65.54,CLQ7 Comdty,8/2017,66.46,CLQ7 Comdty,8/2017,75,CLQ7 Comdty,8/2017,80.7
